¶ De utilitate Phlebotomiae, et cautelis in ea obseruandis.	On the usefulness of bloodletting, and the precautions to observe in it.
Quod si mouet eas, et sentit in eis constrictionem cum digitis et puncturam: tunc scias, quia nucha ossis salua est, et quod infirmus sanabitur cum curatione.	But if he moves them and feels compression and pricking in them when touched with fingers, then you know that the spinal marrow is intact, and the patient will heal with treatment.
Quod si eueniat Spondilibus dorsi simile illius, et uis scire, an sanetur etiam, an non: tunc considera ad pedes eius: tunc si uides quod mollificati sunt, et accidit in eis illud quod accidit in manibus: deinde quando iacet super dorsum suum, egreditur uentositas et egestio absque uoluntate: et quando resupinatur super uentrem suum, egreditur egestio sine uoluntate: et quando resupinatur super dorsum suum, et uult mingere, et non potest: tunc scias, quia est mortale.	And if something similar occurs with the vertebrae of the back and you wish to know whether he will heal or not, then look at his feet: if you see that they are softened and what happened in the hands also occurs in them; then, when he lies on his back, he passes gas and waste involuntarily, and when he lies on his stomach, waste exits without control; and when he lies on his back and wishes to urinate but cannot, you know it is fatal.
Non ergo labores in curatione eius.	Do not therefore put effort into his treatment.
Si uero non accidit ei aliquid ex illo, res est leuior.	But if none of that happens to him, the case is lighter.
Et curatio eius quod accidit ex illo est, ut coneris sedationem apostematis calidi: ita, ut ponas super Spondilem attritam oleum rosatum solum: aut cum uitellis oui assati.	And the treatment for what happens in such cases is to attempt to reduce any hot swelling: place rose oil on the affected vertebra alone, or with the yolk of roasted eggs.
Pone super ipsam illud aliquotiens in die, donec quando sedatur apostema calidum: tum pone super locum unum ex emplastris confortantibus, exiccantibus, et stringe super ipsum cum ligamento: et praecipe infirmo, ut utatur quiete et tranquillitate.	Apply this several times a day, until the hot swelling subsides: then place on the spot one of the strengthening, drying plasters, and bind it with a bandage: and instruct the patient to rest in peace and quiet.
Nec dormiat super partem cum qua inuenit dolorem, donec sanetur.	He should not sleep on the side where he feels pain until he is healed.
Quod si accidit apud attritionem ossis sathaiatum, aut aliquid quod iam separatum fit ex eo: tunc oportet, ut seces super cutem, et auferas illud.	If a bone fragment has loosened at the site of attrition, or anything else becomes detached, you must cut above the skin and remove it.
Deinde aggrega duo labia uulneris, si est magnum, cum sutura.	Then bring together the two lips of the wound, if it is large, with sutures.
Deinde cura ipsum cum aliquo incarnatiuo, ex unguentis, donec sanetur.	Then treat it with a healing ointment until it heals.
Si uero frangitur postremum ossis alhausos, et est finis caudae: tunc oportet, ut intromittas pollicem manus sinistrae in anum, et aeques os fractum manu altera, secundum quod possibile est, et secunda aequatione.	If the last bone of the spine is fractured, at the end of the tail: you must insert the thumb of your left hand into the anus and align the broken bone with the other hand as much as possible, in a second adjustment.
Deinde pone super ipsum, et aufer ipsum: et cura uulnus cum curatione quae praecessit, donec sanetur.	Then place over it, and remove it: and treat the wound as previously described, until it heals.
¶ De restauratione Anchae.	¶ On the restoration of the hip.
Caput XI.	Chapter XI.
Raro franguntur ossa Ancharum.	The bones of the hip are rarely fractured.
Quod si franguntur, tunc fractura eorum non est, nisi comminutio in extremitatibus ipsorum: et scinduntur in longitudine, et declinantur ad interiora: et accidit infirmo dolor in loco, et punctura: et stupescit crus quod frangitur.	But if they do fracture, the fracture is usually just a breaking at the ends: they split lengthwise and incline inward, causing pain at the site and pricking, and the leg with the fracture becomes numb.
Et restauratio quidem eius est, ut extendas manum tuam super ipsum, donec stes super fracturam qualiter est figura eius.	The restoration is to lay your hand over it until you can discern the shape of the fracture.
Quod si fractura est in extremitatibus eius tantum, tunc aequa illam fracturam, secundum quod praeparatur tibi ex aequatione, donec assimiletur figurae suae naturali.	If the fracture is only at the ends, align it according to the preparations made for alignment, until it resembles its natural shape.
Si autem fractura est in longitudine, aut iam declinat ad interiora: tunc fac iacere infirmum super uentrem suum, donec praeparetur tibi restauratio illius fracturae.	But if the fracture is lengthwise or inclines inward, then make the patient lie on his stomach until the restoration of that fracture is prepared.
Quando ergo aequaueris ipsam, pone super ipsam emplastrum: deinde pone super ipsam astellam ex ligno, aut ex cute: et stringe strictura super quam non timeas permutationem fracturae, neque remotionem astellae.	When you have aligned it, place a plaster on it, then a splint from wood or leather over it: and bind it with a compression that does not fear displacement of the fracture nor the removal of the splint.
Et aequa concauitatem illorum cum eo quod impleat eam, donec capiat eam strictura secundum aequalitatem: et praecipe infirmo, ut dormiat super dorsum suum, aut super latus suum sanum.	And equalize any hollows with whatever will fill them, until the compression takes hold evenly: instruct the patient to sleep on his back or on his healthy side.
Si autem accidat ei apostema calidum: tunc cessa ab extensione eius, et ipsius restauratione, donec sedetur apostema calidum: et pone super ipsum quod sedet ipsum, secundum quod praecessit, deinde redi ad restaurationem eius: et stringe ipsum sicut oportet.	If a hot abscess develops, then cease any extension and restoration until the hot abscess subsides: place on it what soothes it, as described before, then return to restoring it: and bind it as necessary.
Si uero accidit in osse satagie, aut comminuitur, extrahe.	But if it occurs in the sciatic bone, or is shattered, remove it.
¶ De restauratione fracturae Adiutorii.	On the restoration of a fracture of the elbow.
Caput XII.	Chapter XII.
Adiutorium est illud, quod est inter cubitum usque ad caput Spatulae.	The elbow is that which lies between the forearm and the top of the shoulder blade.
Si ergo frangitur, tunc restauratio eius est secundum unum duorum modorum.	If it breaks, then its restoration is according to one of two methods.
Quorum unus est: ut accipias lignum planum mediae grossitudinis, secundum hanc formam, quae sequitur.	One of which is: to take a flat piece of wood of medium thickness, in the following shape.
Et ligentur in duabus extremitatibus duo ligamenta.	And two bands are tied at both ends.
Deinde suspendatur ex loco eleuato: et sedeat infirmus super sedem.	Then it is hung from a high place, and the patient sits on a seat.
Deinde proiiciat brachium suum fractum super lignum, donec perueniat ad titillicum eius, in cuius medio sit annexa curuitas ligni.	Then he stretches his broken arm over the wood until it reaches its middle, where the wood is curved.
Deinde suspende desuper ipsum aliquid graue, ut extendat ipsum minister ad inferiora.	Then hang something heavy over it so that the assistant stretches it downward.
Deinde aequet medicus fracturam manibus suis simul, donec redeat fractura, secundum quod oportet.	Then the doctor aligns the fracture with his hands until the bone returns to where it should be.
Et modus alter est, ut resupinetur infirmus super ceruicem suam: et suspende manum eius a collo ipsius cum ligamento.	The other method is that the patient lies back on his neck, and his hand is hung from his neck with a band.
Deinde praecipe duobus ministris, ut teneat unus eorum illud quod est supra fracturam cum manibus suis: et ut alter teneat inferius eius, et extendat unusquisque eorum ad partem suam.	Then instruct two assistants: one to hold above the fracture with his hands, and the other to hold below, and each stretches in his direction.
Et si uis, ut sit extensio fortior, tunc stringe sub fractura cum ligamento, et supra ipsam cum ligamento alio: et extendat ea unusquisque duorum ministrorum ad duas partes suas.	And if you want the extension to be stronger, then tie a band below the fracture and another above, and each of the two assistants stretches in his own direction.
Si ergo fractura est propinqua extremitati humeri, tunc oportet, ut ponatur unum ligamentum sub titillico, et alterum sub fractura uersus cubitum.	If the fracture is near the end of the shoulder, then one band should be placed below the middle, and another below the fracture toward the forearm.
Et similiter si fractura est propinqua cubito: tunc oportet, ut ponatur ligamentum super illum locum, et super cubitum ipsum.	Similarly, if the fracture is near the elbow, then a band should be placed on that spot and on the elbow itself.
Deinde aequa fracturam cum facilitate absque labore, donec quando aequatur fractura secundum quod oportet, et applicatur applicatione bona: tunc stringe eam, si non accidit apostema calidum.	Then align the fracture with ease, without effort, until the fracture is aligned as it should be and applied well; then secure it, if there is no warm swelling.
Si uero accidit apostema calidum, tunc dimitte stricturam usque ad diem septimum.	If there is a warm swelling, then release the binding until the seventh day.
Et pone super ipsum lanam succidam imbibitam in aceto et oleo rosato, donec quando quiescit apostema: tunc stringe eam: et modus stringendi eam est, ut ponas emplastrum super fracturam.	And place soft wool soaked in vinegar and rose oil on it until the swelling subsides; then secure it: the method of securing it is to place a plaster over the fracture.
Deinde pone inuolutionem ex panno nouo super emplastrum.	Then place a wrapping of new cloth over the plaster.
Deinde aggreget brachium super adiutorium ipsum, et ponat manum suam apertam super humerum suum.	Then the arm is set over the elbow, and the patient places his open hand on his shoulder.
Et pone pannum, et stringe super adiutorium brachium, ut brachium stet loco astellarum: si non prohibet te ab illo aliquid, neque alteretur super te aliquid ex osse fracto.	And place a cloth, and bind it over the elbow, so that the arm stays in place instead of splints, unless something prevents you, nor is anything altered by the broken bone.
Quod si times, quod alteretur super te ex osse fracto aliquid, tunc utere astellis: et est, ut ponas super fracturam ipsam astellam quae sit latior et fortior reliquis astellis.	If you fear something may be altered by the broken bone, then use splints: place over the fracture a splint that is wider and stronger than the other splints.
Et ponas inter omnem astellam latitudinem digiti: et sit longitudo astellarum secundum fracturam cum additione trium digitorum ab omni parte.	Place a finger’s width between each splint, and the length of the splints should cover the fracture with an addition of three fingers on each side.
Deinde stringe super astellas strictura quam dixi in principio capituli.	Then bind tightly over the splints with the binding mentioned at the beginning of the chapter.
Et est, ut sit strictura tua super locum fracturae strictior.	And make the binding tighter over the location of the fracture.
Et quanto plus elongatur fractura, sit strictura minor.	And the farther the fracture extends, the less tight the binding should be.
Si ergo vides situm astellarum et stricturam, sicut diximus, in hora qua restauras membrum statim, tunc fac: et si times apostema calidum, tunc dimitte stricturam et astellas usque ad diem septimum, sicut diximus.	If therefore you see the position of the splints and the binding as we have said, at the time when you immediately restore the limb, then do so; and if you fear a warm swelling, then release the binding and splints until the seventh day, as we have said.
Deinde considera ligamentum in omnibus tribus diebus, ut non accidat in loco pruritus, aut inflatio, aut prohibeatur cibus peruenire ad membrum, propter dispositionem superfluitatis stricturae.	Then examine the binding every three days to ensure that no itching or swelling occurs, or that food is not prevented from reaching the limb due to the excessive binding.
Rectifica ergo illud totum, secundum quod diximus.	Therefore, correct everything according to what we have said.
Si vero es super fiduciam, ut non accidat ex illo aliquid: tunc non soluas ligamentum, nisi post tres dies, aut plus.	If, however, you have confidence that nothing will happen as a result, then do not loosen the binding until after three days or more.
Et sit dormitio infirmi super dorsum suum, et manus eius super stomachum suum: et pone sub adiutorio culcitram plenam lana aequaliter.	Let the patient sleep on his back with his hand on his stomach, and place a cushion filled with wool evenly under his elbow.
Et considera in omni hora noctis, aut diei, ut non soluatur figura membri fracta, aut mollificetur ligamentum.	And monitor every hour of the night or day to ensure that the shape of the broken limb is not disturbed or that the binding does not loosen.
Rectifica ergo illud totum virtute tua.	Therefore, correct it all with your skill.
Et pone cibum infirmi secundum ordinem quem praemisimus, ita ut sit cibus subtilis in primis, donec incipiat os stringi: tunc oportet, ut ingrosses cibum eius.	And provide the patient’s food in the order we prescribed, so that at first it is light food, until the bone begins to heal; then it is appropriate to increase his food.
De consuetudine enim adiutorii et cruris est, ut stringatur in quadraginta diebus: tunc ergo oportet, ut soluatur, et administretur balneum, et medicetur cum unguentis quae rectificant illud.	For it is customary for the elbow and leg to be secured for forty days; then it should be loosened, and a bath given, and treated with ointments that restore it.
Quod si fractura fuerit foeda, attrita: tunc non soluas ab ea ligamentum et astellas usque ad quinquaginta dies, et usque ad duos menses.	But if the fracture is severe or rough, then do not loosen the binding and splints for fifty days, or even up to two months.
¶ De restauratione fracturae Brachii.	On the restoration of a fracture of the arm.
Caput XIII.	Chapter XIII.
Brachium est compositum ex duobus ossibus, quae nominantur duo focilia.	The arm is composed of two bones, which are called the two forearm bones.
Quorum unum est paruum: et est illud quod sequitur pollicem.	One of which is small: it is the one that follows the thumb.
Et alterum est magnum, et est illud quod est positum sub paruo ab inferiori parte.	And the other is large, and is located beneath the small one from the lower part.
Fortasse ergo frangitur focile maius solum, aut paruum: et fortasse franguntur simul.	Thus, perhaps the larger bone alone breaks, or the smaller one; or perhaps they break together.
Quando ergo frangitur focile paruum superius, tunc restauratio eius est facilis, et sanatio eius est facilior.	When the smaller bone is broken at the upper part, then its restoration is easy, and its healing is easier.
Et quando frangitur focile inferius, est fractura eius mala, et sanatio eius difficilis.	And when the lower bone is broken, its fracture is bad, and its healing difficult.
Et deterior ea est, quando franguntur duo ossa simul.	And it is worse when both bones are broken together.
Si ergo os quod frangitur est focile parum superius, tunc convenit medico apud restaurationem eius, ut ponat extensionem paruam cum facilitate, donec aequet ipsum.	If, therefore, the broken bone is the smaller upper one, it is fitting for the doctor in its restoration to apply a gentle extension until it is aligned.
Si vero focile magnum est illud quod fractum est: tunc oportet, ut ponat stricturam fortiorem valde.	But if the larger bone is the one that is broken, then it is necessary to apply a much stronger binding.
Et oportet, ut ponat figuram manus apud restaurationem eius, et ipsius extensionem extensam super puluinar.	And it is necessary to position the hand appropriately for its restoration, and extend it on a cushion.
Et sit pollex manus ad superiora altior omnibus digitis: et sit articularis inferior omnibus digitis, vel reliquis: et infirmus sedens quadratus super seipsum, et sit puluinar coram eo, vel in directo eius, in altitudine, ut non incurrat infirmus laborem.	And the thumb of the hand should be elevated above all the fingers, and the joint lower than all the other fingers, or the rest; and the patient should sit upright, and the cushion should be placed in front of him, or at his level, so that the patient does not experience discomfort.
Deinde extendat minister Brachium ab inferiori parte, aut manu sua, aut cum ligamento.	Then the assistant extends the arm from below, either with his hand or with a band.
Et minister alius extendat desuper similiter.	And another assistant extends it from above in the same way.
Deinde aequet medicus os, donec reducat ipsum secundum meliorem figuram quam potest.	Then the doctor aligns the bone until he restores it to the best shape possible.
Quod si in fractura ossis sunt satagiae, tunc conare reducere omne frustum in loco suo virtute tua.	If there are splinters in the bone fracture, then try to return each fragment to its place with your skill.
Si vero apparet in eo sathaiatum separatum, et pungit cutem, et non est tibi spes in restauratione eius: tunc finde super ipsum, et aufer ipsum secundum modum quem diximus in eis quae praemissa sunt.	But if a separated splinter appears in it and pricks the skin, and you have no hope of restoring it, then cut above it and remove it according to the method we have previously mentioned.
Si autem fractura est cum vulnere, ego iam feci ad illud capitulum singulare, ergo accipe curationem illius inde.	If, however, the fracture is accompanied by a wound, I have already dedicated a specific chapter to it; therefore, take the treatment for it from there.
Quod si accidat in principio tuae restaurationis apostema calidum, tunc line pannum cum caeroto facto ex oleo rosato, et caera alba, et sit medium inter spissitudinem et subtilitatem: et stringe pannum super ipsum strictura subtili, donec quando sedatur apostema: tunc remoue caerotum, et pone emplastrum praeparatum ex puluere molendini cum albumine oui.	If, at the beginning of your restoration, a warm swelling occurs, then line a cloth with a salve made from rose oil and white wax, at a medium consistency between thick and thin, and bind the cloth gently over it until the swelling subsides; then remove the salve and place a plaster prepared from mill dust mixed with egg white.
Deinde pone astellas, et sit astella quae ponitur super fracturam ipsam latior parumper, et fortior.	Then place the splints, and the splint that is placed over the fracture should be somewhat wider and stronger.
Et scias, quod numerus astellarum Brachii est sex in pluribus dispositionibus: siue sit fractura in focili uno, aut in duobus focilibus simul.	And know that the number of splints for the arm is six in most cases, whether the fracture is in one forearm bone or both.
Deinde pone stricturam tuam super locum fracturae fortiorem et vehementiorem, et aliquanto plus cum strictura ad superiora fracturae, aut ad inferiora eius: aut pone stricturam molliorem strictura eius parumper, secundum quod praecessit rememoratio eius in principio capituli.	Then place your binding tighter and stronger over the site of the fracture, and somewhat more toward the upper or lower part of the fracture; or make the binding slightly looser, as previously mentioned at the beginning of the chapter.
Et sint panni qui involuuntur super fracturam, panni lenes, humidi: et non sint duri, asperi.	And let the cloths that are wrapped over the fracture be soft, moist cloths; they should not be hard or rough.
Et sit filum quo stringitur ex lino proprie, medium inter subtile et grossum, sicut narrauimus.	And the thread with which it is bound should be of proper linen, medium between thin and thick, as we have described.
Et considera membrum et ligamentum post dies.	And examine the limb and the binding after several days.
Quod si accidat aliquid cuius rectificatio sit necessaria, sicut pruritus qui accidit membro: tunc oportet, ut embroces membrum cum aqua calefacta, donec quiescat ille pruritus, et dimittas membrum non constrictum, donec quiescat, deinde itera stricturam.	If anything occurs that requires correction, such as itching of the limb, then it is necessary to wash the limb with warm water until the itching subsides, and let the limb be unbound until it calms down, then reapply the binding.
Quod si strictura iam mollificata est, et os iam remotum, et similia illis: tunc rectifica illud totum virtute tua, et considera iterum.	If the binding has already loosened, and the bone has already shifted, or similar issues arise, then correct it all with your skill, and examine it again.
Nam si nutrimentum prohibetur pervenire ad membrum, propter superfluitatem stricturae, tunc oportet, ut mollifices ipsum parumper, et dimittas ipsum aliquot diebus, donec currat ad ipsum nutrimentum, deinde stringe ipsum.	For if nourishment is prevented from reaching the limb due to excessive binding, then you should loosen it slightly and leave it for several days until nourishment reaches it again, then rebind it.
Si autem non accidit infirmo aliquid eorum quae diximus, tunc non oportet, ut soluatur, nisi post viginti dies, aut circiter hos.	If none of these issues we have mentioned occur to the patient, then it should not be loosened until after twenty days or around that time.
Deinde suspendatur manus infirmi ad collum eius.	Then the patient’s hand should be suspended from his neck.
Et sit collum eius aequale, et custodiatur virtute sua a motibus agitativis.	And let his neck be kept straight, and protected from agitating movements by its own strength.
Et fac eum dormire super dorsum suum.	And have him sleep on his back.
Et scias, quod haec fractura in triginta diebus, aut in triginta duobus diebus restauratur: et fortasse restauratur in viginti octo diebus.	And know that this fracture heals in thirty or thirty-two days, and perhaps in twenty-eight days.
Totum illud est secundum dispositiones complexionum, et dispositiones virtutis.	All of this depends on the conditions of constitutions and the arrangements of strength.
¶ De restauratione fracturarum Manus.	On the restoration of fractures of the hand.
Caput XIIII.	Chapter 14.
Scias, quod pectini Manus, et nodis digitorum raro accidit fractura.	Know that fractures rarely occur in the palm of the hand and in the joints of the fingers.
Et non accidit ei, nisi attritio multotiens.	And it does not happen except by repeated trauma.
Quando ergo accidit plantae fractura, aut attritio: tunc oportet, ut sedeat infirmus quadratus: et coram eo sit sedes secundum aequalitatem.	When, therefore, a fracture or injury of the hand occurs, it is necessary for the patient to sit squarely, and a seat should be placed level in front of him.
Deinde pone Manum eius super eam extensam.	Then place his hand extended over it.
Deinde extendat minister ossa fracta, et aequet ea medicus, donec quando coniunguntur coniunctione bona.	Then let the assistant stretch the broken bones, and the physician should align them until they come together well.
Tunc oportet, ut ponat emplastrum et stuppam, si non accidat apostema calidum.	Then it is necessary to apply a plaster and lint, unless a warm swelling appears.
Deinde pone astellam desuper secundum quantitatem loci: et tu iam inuoluisti eam in panno lini.	Then place a splint over it according to the size of the area, and you have already wrapped it in a linen cloth.
Si autem fractura est ad inferiora circiter uentrem plantae, tunc fac simile spherae ex panno: et praecipe infirmo, ut coartet super eam cum planta sua fracta: deinde stringatur cum panno longo.	If, however, the fracture is near the lower part around the palm’s center, then make a spherical pad from cloth and instruct the patient to press on it with the fractured palm; then secure it with a long cloth.
Et sit astella ex corio, in quo sit lenitas, ut applicetur corium cum corpore plantae: et stringe eam, secundum quod oportet.	And the splint should be made of soft leather, so that it can be applied closely to the hand’s body; and bind it as necessary.
Si autem fractura est ad exteriora, tunc oportet: ut ponas astellam desuper, et astellam aliam ab inferiori in planta: et sit manus aperta recta.	If the fracture is on the outer side, then it is necessary to place a splint on top and another underneath the hand, with the hand open and straight.
Deinde pone stricturam, sicut reuoluitur manus: et extende inter digitos cum ligamento.	Then apply a binding, wrapping the hand, and extend between the fingers with a bandage.
Quod si accidat fractura alicui nodorum digitorum, tunc si est pollex, aequetur secundum quod oportet.	If a fracture occurs in one of the finger joints, then if it is the thumb, it should be aligned as necessary.
Deinde stringatur cum planta: et si amas, pone ei astellam rectam, paruam: ut eleuetur fractura, et non moueatur.	Then bind it with the palm; and if desired, place a small, straight splint to elevate the fracture and prevent movement.
Si autem fractura est reliquis digitis, sicut medio, et indici, aut auriculari, et anulari, tunc aequetur, et ligetur cum digito sano qui sequitur eum: aut ligentur omnes secundum continuationem: et est melius.	If, however, the fracture is in the other fingers, such as the middle, index, pinky, or ring finger, then it should be aligned and bound with the healthy finger next to it; or all can be bound together in sequence, which is better.
Aut pone super ipsum astellam paruam, sicut diximus in pollice.	Or place a small splint over it, as we said for the thumb.
Et considera in restauratione tua, et post ipsam dispositionem apostematis calidi: et oppone cum eo quod oportet, quando accidit aliquid ex illo, secundum quod iteratur eius narratio.	And consider your restoration, and after the setting, treat any warm swelling that arises accordingly, as previously described.
¶ De restauratione fracturae Coxae.	On the restoration of a fracture of the hip.
Caput XV.	Chapter 15.
OS Coxae multotiens frangitur, et declaratur sensui: quoniam conuertitur ad interiorem et posteriorem partem.	The hip bone is often fractured and is noticeable by the way it turns inward and outward.
Et restauratio eius fit ita, quod stringitur ligamentum supra fracturam, et ligamentum aliud sub fractura.	Its restoration is done by binding one band above the fracture and another below it.
Et infirmus prostretur super faciem suam.	And the patient should lie face down.
Deinde extendat omne ligamentum minister ad partem suam secundum aequalitatem: et hoc, quando est fractura in medio ossis.	Then let the assistant extend each band on its side evenly, and this is done when the fracture is in the middle of the bone.
Si autem est fractura propinqua radici Coxae, tunc sit ligamentum ad partem pectinis, ut cadat extensio ad sursum: et ligamentum aliud sub fractura.	If the fracture is near the hip’s root, then place the band on the side of the hip so that the extension goes upward, and place another band below the fracture.
Et sic similiter si est fractura propinqua genu, tunc sit ligamentum propinquum genu, ut sit extensio ad inferiora.	Similarly, if the fracture is near the knee, then place the band close to the knee so that the extension goes downward.
Deinde aequet medicus os utriusque manibus suis, donec reducat ipsum secundum similitudinem figurae naturalis: et coniugatur os coniunctione bona.	Then the physician should align the bone with both hands until it returns to its natural shape, and the bones should join well.
Tunc oportet, ut ponas emplastrum et stricturam, si non accidit membro apostema.	Then it is necessary to apply a plaster and a binding, if there is no swelling in the member.
Quod si accidat in eo apostema: tunc dimitte ipsum diebus aliquot, donec sedetur apostema calidum, deinde redi ad curationem tuam.	If swelling occurs, then leave it for a few days until the swelling subsides, then return to your treatment.
Strictura autem eius ita sit.	The binding should be done as follows.
Oportet ut inuoluas super fracturam imema duram, id est, bindam: et dupla eam bis, aut ter: et remaneat ex ea superfluitas.	You should wrap a hard binding over the fracture, that is, a binding band, and fold it two or three times, leaving an excess.
Deinde inuolue crus, donec perueniat calcaneus apud radicem natis.	Then wrap the leg until it reaches the heel at the base of the buttocks.
Et intromitte filum longum inter Coxam et crus prope genu ad inferiora, et ueniant extremitates fili a superiori parte duarum partium.	And insert a long cord between the hip and the leg near the knee downward, so that the ends of the cord emerge from the upper part of the two sides.
Deinde reuolue super Crus et Coxam quod superfluit ex alimema.	Then wrap the excess of the binding over the thigh and hip.
Deinde pone super Coxam in loco fracturae ipsius astellas, et pone ex eis astellam unam super os cruris.	Then place splints on the hip at the site of the fracture and place one splint on the thigh bone.
Deinde imple uacuitates inter crus et coxam cum pannis lenibus, ut aequetur strictura.	Then fill the gaps between the thigh and hip with soft cloths to balance the binding.
Deinde incipe cum strictura forti a medio super locum fracturae tribus inuolutionibus, aut quatuor.	Then begin a firm binding from the middle over the fracture site with three or four wraps.
Et quanto plus elongaris cum ligamento a loco fracturae, sit strictura tua minor et mollior, et lenior.	And as you extend the bandage farther from the fracture site, let the binding be looser, softer, and gentler.
Deinde intende ad duas extremitates fili, quod tu intromisisti inter coxam et crus.	Then tighten the two ends of the cord that you inserted between the hip and the thigh.
Liga ergo cum utrisque tres astellas quae sunt desuper.	Then tie both ends to the three splints above.
Deinde uade cum duabus extremitatibus fili ad inferiora, donec peruenias ad cauillam pedis.	Then move both ends of the cord downward until you reach the ankle of the foot.
Et cum utrisque stringe etiam extremitates astellarum a parte altera: ut non remoueatur ligamentum ex loco suo.	And with both, secure the ends of the splints on the other side, so that the binding does not move out of place.
Deinde dimitte stricturam super illud, dum permanet, ita quod non accidat membro corrosio, neque apostema, neque inflatio, et similia eis.	Then release the bandage over it while it remains, so that there does not occur corrosion, nor swelling, nor inflammation to the limb, or anything similar.
Quod si accidat aliquid ex illo.	But if something happens from it.
Propera ergo cum solutione eius, et rectifica illud quod accidit inde totum, secundum quod diximus multotiens.	Then proceed quickly with its release, and correct all that happened from it, according to what we have said many times.
Si uero in osse est frustum ex osse quod pungat: tunc oportet, ut aeques illud, si est tibi possibile.	If there is a piece of bone in the bone itself that is sharp: then it is necessary that you smooth it, if it is possible for you.
Et si non, finde super illud, et remoue illud: et cura cum eo cuius praecessit rememoratio, donec sanetur.	And if not, cut upon it and remove it, and treat it with that which was previously mentioned, until it heals.
Et quandoque stringitur haec fractura Coxae, praeter quod addantur ei astellae, sicut diximus in adiutorio et brachio.	And sometimes this fracture of the hip is bound, with splints added to it, as we have said for the arm and thigh.
Verumtamen in restauratione eius taliter fracta, non accidit infirmo claudicatio.	However, in the restoration of it being thus fractured, limping does not happen to the patient.
Et si restauratur sola, praeter quod applicetur ei crus alterum, tunc necesse est, ut claudicet ille cuius est, semper.	But if it is restored alone, without the other leg being applied to it, then it is necessary that he to whom it belongs limps, always.
Et scias, quod Coxa stringitur in quinquaginta diebus, uel additur parum, aut minuitur parum: totum illud est secundum diuersitatem complexionum, et reliquarum dispositionum.	And know that the hip is set in fifty days, or a little more or less; all of it depends on the diversity of temperaments and other conditions.
¶ De restauratione fracturae Rotulae genu.	On the restoration of the fracture of the kneecap.
Caput XVI.	Chapter XVI.
Scias, quod Rotulae genu raro accidit fractura, sed accidit ei attritio multotiens.	Know that a fracture of the kneecap rarely happens, but it often suffers abrasion.
Si uero accidit ei fractura, tunc non nisi aut fissura, aut foramen in partibus suis.	If indeed a fracture occurs, then it is nothing other than a crack or hole in its parts.
Et est illud cum uulnere, et absque uulnere.	And it is either with a wound or without a wound.
Et statur super illud totum cum sensu.	And it is all felt with sensitivity.
Et restauratio eius est ita, ut aequetur quod disruptum est ex partibus eius cum digitis, donec aggregetur, et coniungatur secundum quod possibile est ex aequatione et facilitate, et fabricatione.	And its restoration is such that the parts which are disrupted are aligned with the fingers, until they are joined and connected as evenly and easily as possible.
Deinde pone emplastrum ex farina sisami, uel molendini, cum albumine oui: et pone super ipsum astellam rotundam, si indiges illa: et stringe desuper strictura conueniente ad illud.	Then place a plaster made from sesame flour, or mill flour, with egg white; place a round splint over it if needed, and bind it with a bandage suitable for it.
Deinde considera omnes dispositiones quas narrauimus in reliquis fracturis: sicut apostema calidum, et similia illi: ita, ut opponas omni accidenti cum eo quod conuenit ei, donec sanetur.	Then consider all the instructions we have described for the other fractures, like the hot swelling and similar; thus, treat each occurrence with what is suitable for it, until it heals.
¶ De restauratione fracturae Cruris.	On the restoration of the fracture of the leg.
Caput XVII.	Chapter XVII.
Scias, quod Cruri sunt duo ossa, quorum unum est grossum, et nominatur nomine Cruris: et alterum subtile, et nominatur Focile.	Know that the leg has two bones, one of which is thick and called by the name of Cruris, and the other is thin and called Focile.
Et accidit utrisque ex speciebus fracturae quod accidit duobus ossibus brachii: et propter illud fit restauratio eius, sicut restauratio brachii aequaliter, et operatio est una.	And each of these bones can suffer fractures similar to those that happen to the two bones of the arm, and for that reason its restoration is carried out just as the restoration of the arm, and the operation is the same.
Quod si franguntur duo ossa simul, conuertitur Crus ad omnes partes.	But if both bones are broken together, the leg turns in all directions.
Et si frangitur os subtilius, conuertitur Crus ad anteriorem partem.	And if the thinner bone is broken, the leg turns toward the front.
Et si frangitur os grossius, inuenis illud inferius: et est ex eis quae non occultantur tibi.	And if the thicker bone is broken, you will find it below; and it is among those things that are not hidden from you.
Deinde administra extensionem, et aequationem, et ligationem astellarum secundum illud aequaliter.	Then apply extension, alignment, and binding of splints evenly according to it.
Verumtamen oportet, si fractura Cruris est fractura foeda, habens sethagie multa: ut sit extensio minor, et lenior alleuiatione tua.	However, if the fracture of the leg is a severe fracture, having much swelling, the extension should be less and gentler with your relief.
Et in Crure quidem est ex operatione quiddam super brachium: et est, ut quando tu aequas astellas, et comples omnem operationem tuam, tunc accipe duas fascias ex ligno pini, quod administratur in fabricatione solariorum quod ponitur sub tabulis: et fiunt ex spatulis palmae: et elige ex eis quibus est grossitudo parua, et neque sint ex minutis: et sit longitudo earum secundum longitudinem Cruris a genu usque inferius.	And indeed in the leg there is a part of the operation beyond the arm: and it is such that when you arrange the splints and complete all your work, then take two strips of pine wood, which is used in the making of sunshades placed under the planks, and they are made from palm leaf stems, and choose those with small thickness, and they should not be from the thinnest; and their length should match the length of the leg from the knee down.
