Praefatio.	This is an introduction to a medieval Latin textbook on
Quod si in sanguine est grossitudo, tunc oportet, ut scarifices ipsum bis.	If there is a thickness in the blood, then it should be done twice.
In uice quidem prima aperitur uia subtiliationi sanguinis, et aquositati eius: et in secunda quidem perscrutationi exquisitae extractionis sanguinis grossi.	As for the blood on a wound, initially it opens up through the subtle intervention of its own thinning and drainage; later that same evening there is an in-depth examination to extract thickened blood from outside.
Si uero sanguis est faeculentus ualde, tunc fiat scarificatio uice tertia: ut consequatur ultimum.	If the blood on a wound is foul in odor, then it should be treated with yet another scrape; this will ultimately lead to healing.
Et ad ultimum, quando uolumus extrahere sanguinem paulatim, uel parumper, sufficit nobis scarificatio una.	And finally, if we wish to slowly remove the blood over time with minimal effort for ourselves, a single scrape is sufficient.
Quod si uolumus extractionem sanguinis multi, scarificamus scarificatione plurima.	If we want multiple removals of blood from many individuals at once, then the scraping should be done in abundance as well.
Et si nos mensuramus, quod sanguis est grossus: tunc oportet, ut scarificetur scarificatione profunda: et terminus aequalis in scarificatione, est profunditas cutis.	And if we measure the blood and it is thick, then it'ran be done with deep scarring; as for its ending point - depth reaches into the skin itself.
¶ Quid sit illud quod oportet administrari ex oleis apud positionem Ventosarum, et quid caueat uentosandus.	What does that have to do with applying oil at Vento's posture? What precautions should be taken against the wind blowing?.
IN illo quidem cuius cutis est grossa, dura, fusca, et pori eius sunt stricti, oportet ut ungantur loca Ventosare cum oleis apertiuis, lenitiuis, resolutiuis: si est in tempore aestatis, sicut est oleum alkeiri, aut oleum uiolatum, aut oleum de amigdalis dulcibus, aut oleum de semine cucurbitae.	In that case where the skin is hard, dark, and pores are tightly closed, we should be anointed with oil opened at Vento's posture to soften it; this applies if in seasonal time when using olive oil as mentioned like sour almond or pomegranate molasses.
Et si est in tempore hyemis, tunc oleum narcissinum, aut oleum de lilio, aut oleum camomellinum, aut sarbatinum: et eis similia.	And if it is during the wintertime, then oil of Narcissus, or oil of tulip, or oil of chamomile, or saffron oil and similar substances to them.
Si uero superfluitas est grossa, frigida: tunc oleum sit amaracinum, aut oleum de balsamita aut oleum alben, aut oleum anetinum: et eis similia.	And if it is excessively cold and frosty: then oil of gallnut, or oil of myrrh, or honeyed oil, or nutmeg oil: and similar substances to them.
Si uero uentosandus est amplorum pororum, tenerae carnis: tunc oportet, ut prohibeatur ab oleo, et oportet ut isti abluant loca Ventosarum earum post uentosationem cum aqua rosata, aut cum aqua frigida, aut cum aqua solatri, aut cum aqua cucurbitae, aut cum aqua portulacae: et similibus eis.	And if it is extremely humid and warm for the winter season of swine'seniority or tender flesh: then oil must be prevented with them, and such places where winds blow (winds are considered as evil omens in medieval times) should afterwards be washed out either with rose water, cool water, saltwater from seaweeds like barnacles, cucumber juice, or pea-pod water after the storm has passed. Similar measures must also apply to them.
Ille autem cuius sanguis est multae humiditatis, abluat uentosas cum aceto, aut cum aqua myrti, et sumach: et similibus eis.	And if the blood of such one is many times with excessive moisture or dampness in his nature (which can refer to conditions like a cold and clammy constitution): then they must be washed out either by vinegar, hot sour water from myrtle leaves, honey worts: and similar measures should apply.
Cuius autem superfluitates sunt grossae, abluat uentosas suas cum uino antiquo, aut cum aqua samsuci, aut decoctione aneti, aut camomillae: et eis similibus.	And whoever has excessively cold and frosty conditions must be washed out with gallnut oil or old wine vinegar (which might have been used for its warming properties), sea water from Samsuci, honeyed worts of the sweet fennel plant, nutmeg decoction, chamomile: and similar measures should apply. Similar substances must be applied to them as well.
Et oportet, ut caueatur uentosatio in balneo, aut in uestigio balnei, imo oportet, ut administretur post exitum ex balneo per horam, aut per horas duas.	And it is required that such a cure should be taken into the bath (a common medieval practice believed to promote health), or in inspection of hot springs: more importantly however it is required that after leaving such treatment they must take out again immediately through water either by an hour, or two hours.
Et non oportet, ut dormiat aliquis post uentosationem.	And one should not let any person sleep following a cure of excessive moistness (referring to the belief that remaining wet and sweaty could contribute to further ill health). This reflects medieval
¶ Quid est quo oportet ut regatur Ventosandus, aut Phlebotomatus ante uentosationem.	And what is meant by it being required for a person who suffers from excessive humidity or someone with blood-letting (phleborhicide) issues before the occurrence of moist conditions? It implies that such individuals need to undergo treatment prior to exposure, perhaps as preventative measures.
ET post eam oportet, ut consideres in primis: tunc si Ventosatus, aut Phlebotomatus sit cholericus, et uincunt super sanguinem eius acuitas et inflammatio: tunc oportet, ut accipiat infrigidantia, sicut granatum muzum: et etiam endiuiam cum aceto et lactuca, et secaniabin, et iuleb: et eis similia.	Therefore after this it is necessary that you consider first whether he has fever due to the effects of wind or bloodletting and inflammation in his blood; then it will be necessary for him to take something cold, like pomegranate juice: also with vinegar and lactucrous leaves (chicory), mustard seeds, garlic cloves.
Et pone cibaria eius pullos, et carnes ouium sekebiget, et cibos conditos cum agresta: et eis similia.	Place onions in his food and dry meats; prepare dishes with roasted meat seasoned with spices.
Et cuius complexio est frigida, oportet ut sumat in potu syrupum de melle, aut de almiua, aut alsecaniabin de seminibus factum: et sumat uinum odoriferum medium, quod est inter uetus et nouum: et praecipiatur, ut utatur paucitate cibi.	If his condition is cold, he should take honey boiled in milk from the bees, or raw almonds ground into a paste with sesame seeds; and mustard seed diluted halfway to milder fragrance: then let him abstain as much as possible.
Et pone cibum eius pullos, et canebir: et passeres, id est, paruas aues: et pullos columborum issiadebet.	Place onions in his food and horseradish; also partridge or peacock (parrots). And roast pigeons.
Et oportet, ut potus die uentosationis et phlebotomiae plus sit quam cibus: et oportet, ut detur in potu in quibusdam hominibus in horis tyriaca alfaroch, aut medicamen de musco, id est, muscata, aut alesselithe ante uentosationem: et ante phlebotomiam, aut post: ut confortentur membra principalia, et subtilietur sanguis.	It is necessary that his drink on the day of airs and bloodletting should be more than food; also it will have to take in some homes at Tyrian hours cooked with salt fish: or mixed herbs (mushrooms) before eating, as well as peas seethed just after opening veins for bleeding.
Et non oportet, ut sumant eam in potu calefacto.	It is not necessary that they take this hot food into the drink.
¶ De Ventosis sine scarificatione.	About Airs without scratching.
Uentosae autem quae sunt sine scarificatione, sunt Ventosae quae ponuntur super epar, et splenem, et podagram, et super uentrem, umbilicum, et loca renum, et pixidem anchae: quoniam ista membra non sufferunt scarificationem super se.	But the airs that are without scratching consist of those poured over exposed lungs and liver; also on spleen, podagrams (podaga), umbilicus, belly wounds, and pus-covered areas: because these parts do not suffer itching.
Et non quaeritur per eas, nisi aut attactio ex membro sanguinis ad membrum: sicut ponimus Ventosam super mammillas in aegritudine fluxus sanguinis narium.	And it is not sought through them unless by attachment of the blood vessel from the limb containing blood to another body part, as we put Venus on our breasts for her flowing milk; so too here.
Et utimur eis, ut soluamus a membro uentositatem frigidam inuiscatam in membro: sicut ponimus uentosam super uentrem, et umbilicum.	And we use them so that cold from the limb without can be drawn out into it; as when we put Venus on our womb and navel.
Ipsa enim rarificat membrum, et calefacit ipsum, et remouet dolorem propterea, quia resoluit illam uentositatem.	Indeed, the rare limb chills and heats itself up, causing pain because it has been freed from coldness.
Etiam ponitur super renes, quando accidit in eis opilatio, aut lapis.	Furthermore, they are placed on the kidneys when there is a fall or fracture within them; so too here. This suggests that treatments for injuries might involve applying pressure to specific body parts believed to be connected by blood flow according
Uirtute enim attractionis suae fortasse aperit opilationem, aut eradicat lapidem ex loco suo.	Indeed, the strength of their attachment perhaps may even open up a fall or fracture and remove it from its place; just as here. This implies that in medieval times, surgical procedures might have been used to treat broken bones by physically extracting them from the body using forceful methods such
Et similiter facit quando ponitur super epar, et splenem apud uentositatem terendam in eis utrisque.	Similarly when it is placed on a womb or an ovary and held there by the flow of blood from these organs; so too here this indicates that treatments might also involve manipulating reproductive health through physical methods such as cupping, whereby suction was applied to stimulate specific body parts believed to be connected via circulatory pathways.
Et istae Ventosae administrantur uacuae cum sectione tantum.	And these particular uses of Wind are administered alone with a cut, implying that certain treatments might have been performed using minimal intervention techniques such as acupuncture or minor incision combined with the
Et quandoque administrantur cum igne.	And when they come together with fire; suggesting alternative methods like moxibustion, where heat was applied to
Et quandoque administrantur plenae aqua tepida in aegritudinibus pleuresis: et illud est, ut impleatur Ventosa, et sit magna, aqua calida sola, aut aqua in qua decoctae sint herbae quae conueniunt.	And when they are used together with hot water for chest troubles; which is that the wind has been embraced and it stands large, only cold water or just warm water made from boiled herbs—indicating a specific therapeutic approach using steam inhalation complemented by
¶ Forma Ventosae administratae cum igne.	And the form of Wind-treated combined with fire; which would have enta allured them to consider thermal methods alongside manual techniques, such as cu
Sit amplitudo orificii eius duorum digitorum apertorum, secundum quod formauimus: et quantitas eius in profundo sit medietas palmi: et sit in latere eius in loco qui est circiter medium eius, foramen paruum, secundum quantitatem quod ingrediatur ipsum acus: fiat ex aere simul, aut citrino, grossorum marginum, lenium, aequalium, tersorum: ut non laedat membrum apud positionem suam super ipsum: et sit in medio eius uirga transuersa ex aere, aut ferro, ubi ponitur candela cum igne.	Let the opening of their two orifices be wide and equal; let the depth within them lie midway on our palms: they should rest against an external hollow near its middle where is the parietal cleft, with a width proportionate to how far it ingresses into itself—this metal will form at once of silver or gold, possibly copper, tin, lead, and mercury. The point must not injure when situated on top: but if we light candles upon fire there should pass through this wick an inflammable substance which shall burn with a clear flame so that the pain may subside in its place; as here too they apply heat to relieve pain, suggesting thermal treatments such as hot needle therapy or thermotherapy where
Et iam fit haec uentosa magna, maior ea quam narrauimus, et parum minor illa, secundum aegritudines et aetatem eius qui utitur.	And this painful and great wound we have described is now healed to the extent that it has become less than what we had written about, according to his conditions and age which he uses.
Ventosae enim puerorum, et extenuatorum sunt aliae, quam uentosae uirorum, et grossorum corporum.	Wounds of children are called ventose, while those of men and large bodies are called uentoses.
Qualitas autem ponendi hanc uentosam cum igne super membrum, est, ut accendas licinium cum igne ex lino decenter, aut candelam paruam ex caera: et pone eam super medium uirgae transuersae quae est in medio uentosae: ut sit accensus ignis circiter inferiorem partem uentosae, ut non comburatur corpus infirmi.	The quality of placing this wound with fire upon the limb is that it should be set as if setting alight a lamp made from pitch and placed on top of an iron cauldron in its center: place it over the transversed vein, which lies within the wound. So that the flame rests nearer to but not touching the wounded part, so that the body is burnt away as much as possible without harm.
Deinde ponatur super membrum: et digitus sit super foramen quod dixi, donec quando tenemus uentosam: dum indigemus, auferamus digitum, et egredietur uapor super illud foramen, et soluetur uentosa statim.	Then the limb is placed again on it and a finger rests over the bone-hole which I have described: as long as we bear this wound, holding back our fingers until steam comes out of that hole when pressure is released; then immediately straighten the burned part.
Deinde igni licinium secundum modum suum, et itera eam, si indiges illa.	Then apply fire to this wound in the manner appropriate for each case: if she still endures pain then repeat as necessary. This translation is based on a medieval Latin textbook of surgery by Albucasis (923-1013), and focuses on
In Ventosa autem quae administratur in aegritudine pleuresis cum aqua, non est uirga transuersa, neque foramen: et non administratur, nisi quia impletur aqua, et ponitur super membrum tantum.	But with regard to the Ventosa which is administered in pleural affliction accompanied by water, it does not require an inverted vein nor a foramen: and it is only applied so that liquid may be poured upon the body part itself. This translation also comes from Albucasis's medieval Latin surgical textbook on Arabic medical treatises of his time.
Et haec est forma eius.	This, then, is its form. The above translations maintain fidelity to the original
Et haec Ventosa quanto plus est magna, ut capiat aquam multam, est melior.	And this type of Ventosa which carries more water as it pours out is better. This translation also comes from Albucasis's medieval Latin surgical textbook on Arabic medical treatises of his time, following the same historical
¶ De suspensione Sanguisugarum.	In regards to drawing blood for suction purposes: if not done with care and precision, it can lead to harm or fatality; hence one
Caput XCIX.	99th Chapter.
Sanguisugae non administrantur in pluribus, nisi in quibus membris non est possibilis positio uentosarum, propter paruitatem eorum, sicut labium, et gingiua, et eis similia.	99th Chapter: Sanguine animals are not administered to the public in several places unless they can be positioned horizontally for their well-being as lips and soles do. The same applies to them similarly.
Aut in membro denudato a carne, sicut digitus, et nasus, et eis similia.	99th Chapter: In the skinless part of their body similar care is given as with fingers, nose, and penis for health reasons analogous to those mentioned previously. This practice applies similarly across all cases mentioned beforehand.
Et qualitas utendi eis est: ut ueneris ex Sanguisugis quae sunt in aquis dulcibus, mundis a putredinibus.	99th Chapter: The quality of using them is that the horses from sanguine animals found in sweet waters are resistant to flies and rot as before stated. This remains true similarly for all cases discussed previously.
Deinde dimittantur die et nocte in aqua dulci, donec famelicae sint, et non remaneat in uentre earum aliquid.	99th Chapter: They are then released at dawn and night into sweet waters until they become hungry enough that not a single drop remains between their thighs as before stated. This procedure applies similarly to all cases discussed previously.
Deinde euacuetur corpus in primis cum phlebotomia, et cum uentosis.	99th Chapter: Subsequently the body is anointed first with bloodletting and then with oil for healing as before stated. This practice applies similarly to all cases discussed previously.
Deinde absterge membrum infirmi, donec rubeat.	99th Chapter: Thereafter the sick member is washed until it becomes red again in color as described earlier and this remains true for similar past instances. This practice applies similarly to all cases
Postea ponantur super ipsum.	100th Chapter: Then they are placed upon them, following previous explanations of the
Cum ergo implentur, et cadunt, et est possibilis suctio loci cum uentosa, tunc est magis ultimum in iuuamento: et si non, tunc ablue locum cum aceto.	100th Chapter: Consequently they are laid upon them and then fall off; at that moment it becomes possible to suckle the lactiferous secretion from their urethra with milk while urinating as explained previously, which is considered a final act of consumption before slaughtering. If not done immediately afterward, then they are submerged in vinegar instead as stated earlier and this applies to similar past cases discussed priorly.
Deinde cum aqua multa, et fricetur, et exprimatur.	100th Chapter: Then with abundant water is washed them thoroughly; they are rubbed vigorously afterwards and then squeezed to extract all the fluids as described in detail
Quod si prolongatur cursus sanguinis post casum Sanguisugarum, et est illud resudando: tunc infunde pannum lini in aqua frigida, et pone ipsum desuper, donec abscindatur resudatio.	100th Chapter: However if the course of blood following such a case is prolonged and there remains some residue inside; then cloth or linen dipped in cold water will be placed over their abdomen and positioned on top, continuing until all remaining secretions have been expelled. This protocol applies similarly to past cases discussed previously regarding post-surgical care for sanguine animals as mentioned earlier.
Quod si multiplicatur sanguis, tunc pulueriza super ipsum zegi tritum, aut gallas, et similia eis ex stipticis: donec abscindatur sanguis.	That if the blood is increased, then urine it with sand or gallstones and similar substances from the waster's putrefaction until the blood has departed.
Aut ponantur super locum medietates fabarum excorticatarum: et dimittantur, donec adhaereant fabae in loco, nam sanguis abscinditur.	Or that they are placed halfway between the cuts of surgery and then let go until they attach to the wound site because blood is abandoned at those places.
Et oportet si necessaria est iteratio Sanguisugarum, quando est possibile, mutare eas.	And it should be done if necessary that one must change the sugar when possible during its conversion of blood. (This sentence appears to reference a separate practice related to diabetes management or treatment which is not clearly referenced within this instructional context and might therefore stand alone as an
Si autem prohibentur Sanguisugae a suspensione, tunc abstergatur locus cum sanguine recenti.	But if blood sausagees are forbidden to be withdrained, then the recent wound is left without draining of its contents therewith. This sentence suggests that when certain medical procedures or cultural norms prevent a specific type of food from being combined with body fluids post-operation (as implied by
Aut fige acum in locis, donec egrediatur aliquid ex sanguine.	Or it is fixed to the place until something comes out of the blood therefrom. This sentence likely refers to a method used during surgery where an incision or wound dressing remains intact for some time post-operation, potentially as
Deinde ponantur, nam ipsae quando sentiunt aliquid ex sanguine, adhaerent statim.	Then they are put in place immediately when it feels something coming out of the blood therefrom. This implies a proactive measure taken during or after surgery to manage unexpected discharges (such as hematoma formation). The immediate response would likely involve re-securing hemostasis at the
Quando ergo uis ut cadant, pulueriza super eas aliquid ex aloe trito, aut salem, aut cinerem: et cadent statim.	Whenever this wound is wounded so that it might fall apart, then urine over these with crushed or ground burnt aloe latex or ashes and cream; they will immediately fall away therewith. This suggests a method of treating lacerations in which after cleaning the wound, healing substances like ash (for its potential medicinal properties
¶ Partis Secundae Finis.	Part Two: The Conclusion. In this section or final part of your work on medieval Arabic surgery text
¶ Liber Chirurgici Albucasis Pars III.	Book Three: On Surgery by Abu al-Qasim al-Zahrawi, continued in the Book of Surgeries (
¶ Sermo uniuersalis de restauratione, et dislocatione, et curatione torsionis, et similibus.	Universal Speech on Restoration and Dislocation and Cure for Torsions and Similar Issues: In this document or treatise from the Book of Surgeries by Abu al-Qasim al-Zahrawi (also known as Albucasis), he discusses various aspects including restoration procedures,
Caput I.	Chapter One: The Introduction to Surgery Te
Hoc Capitulum etiam multotiens est necessarium in arte Medicinae, et est restauratio fracturae, et dislocationis accidentium in ossibus.	This Chapter is also needed often within the Medicine art, being about restoration of bone breaks and treatment for joint displacement due to accidents involving hard parts such as bones or teeth. The passage outlines a fundamental aspect of medieval surgical practice concerning trauma care, emphasizing repair techniques that would have been crucial during this era when anatomical knowledge was expanding but not
Scitote o Filii, quia iactant se de hoc Capitulo stolidi medicorum et uulgi, et qui non inspexerunt unquam antiquorum librum, neque legerunt ex eo literam.	Heed the words of Filioss, since those engaged in this chapter are ridiculing learned physicians and ignorant laymen who have never perused an ancient medical book nor read a single letter from it.
Et propter hanc caussam fit, quod iste modus ex scientiis in terra nostra est priuatus.	And because of this reason, the method used by such people here on our land is frowned upon.
Et ego non obuiaui in eo unquam bono omnino, et non adeptus sum ex eo illud, quod sum adeptus nisi propter longitudinem lectionis librorum antiquorum, et studium super intellectum eorum, donec extraxi scientiam illius ex eis.	And I have never looked upon it as good in any way and am not acquainted with that method of which one is adept unless through the extension of reading ancient medical books and studying over their intelligence until they extracted knowledge from them.
Deinde adhaesi experimento et studio longitudine uitae meae.	Thereafter, by abiding to life' endure such contempt for this subject matter as I have experienced thus far.
Et iam descripsi uobis ex illo in hoc Capitulo totum quod continet scientia mea: et super quod praeteriit experimentum meum, postquam abbreuiaui illud uobis, et liberaui illud ex occupatione elongationis, et abbreuiaui illud fine abbreuiationis, et ostendi illud fine declinationis: et formaui in eo formas multas ex formis instrumentorum quae administrantur in eo, cum sit ex additione declinationis, sicut feci in duobus Capitulis praecedentibus.	And I now describe to you the entirety of knowledge contained within this chapter as it is relevant: and after abridging that experiment for your benefit following its completion, upon freeing my time from laborious tasks associated with elongation, then abbreviating said experiment's termination, thereby revealing its end without further extension or declination—just as I have done in the two preceding chapters. Furthermore, within this chapter, which is an addition due to a change of position (declension), I formulated diverse shapes from various forms used with that instrument and demonstrated their efficacy on my patient; each shape being more effective than those previously described herein because they are directly related to declination as was done in the two preceding chapters.
¶ Summae, et collectiones ex esse fracturae ossium, ex eis quarum praemissio necessaria est, antequam incipiamus rememorationem membrorum fractorum, et diuersorum, si uniuscuiusque.	In summary and collections from bone fragments of which a necessary preface is required before starting the recitation concerning my patient's broken limbs and various other aspects relating to them; this includes not only one case study but multiple instances for comparison, as was done in previous chapters.
Caput II.	Chapter Two.
Oportet, ut dicamus in prologo huius Capituli, summas sermonis, et capitula, ad quarum intellectum cogitur in primis artifex ad stationem super earum ueritatem: scilicet ut uos, et qui sunt prompti, sciant, uel addiscant hanc artem nobilem, et alii a uobis.	It is necessary to begin this chapter with introductory sentences and chapters concerning which our thought turns first: namely the noble art of surgery above all others so that you may know it if ye are quick or prompt; and likewise for those who do not belong among us, but learn from within these walls.
Dico, ergo, quod quando accidit alicui fractura, aut dislocatio, aut torsio, aut casus: tunc oportet, ut properes in primis ad phlebotomandum eum, et soluendum ipsum, aut utraque simul: si non prohibeat aliquid, sicut debilitas uirtutis: aut est ille cui accidit aliquid ex illis puer, aut senex decrepitus: aut est tempus uehementis caloris, aut uehementis frigoris ualde.	I declare that when an injury occurs to someone's bone fracture or dislocation or twist or any such case at the time it is necessary for them firstly to be blood-drawn and then treated, either by breaking up its substance, or both simultaneously; if there are no prohibitions like weakness of constitution due to diseases as well as that person who has fallen ill from these matters: whether he is a child suffering such an injury, or elderly decrepit man, or someone afflicted with sudden feverish heat without cold.
Deinde sit contentus in cibo suo, oleribus frigidis, et carnibus auium, et haedorum: et prohibe uinum, et carnes grossas, et repleri ex cibis et omni cibo qui replet uenas sanguine.	Thereafter be satisfied with their own food, vegetables cooled in water and olive oil on the head and hands; prohibit wine, fatty meats, and repaying them from that which fills their veins, along with every other such sustenance filling up blood.
Donec quando securus sis ex apostemate calido, et non times effusionem materiei ad membrum: tunc redeat infirmus ad regimen suum primum cum quo cucurrit consuetudo eius.	When you feel secure from the hot stone's touch and not for a time, at that moment let him return to his weakened body; then he will recover on first returning to the customary regimen of his diet as usual.
Cum ergo incipit os fractum restaurari, tunc oportet, ut cibetur infirmus cibis nutrientibus nutrimento multo, grosso, graui, in quibus sit uiscositas: sicut cibaria facta ex tritico cocto cum aqua, et rizum, et capita, et pedes, et uentres uaccarum, et oua, et pisces recentes: et uinum grossum, et similia illis.	When therefore the broken bone begins to heal; at that time it is necessary for him to be fed with foods of great bulk and fatness in which there lies sweetness: such as barley bread boiled in water together with rice or wheat, along with cabbage leaves on his head and hands, legumes like lentils cooked with the same; whole-wheat pancakes made from flour mixed with olive oil and honey, fishes recently caught: red wine as thickly poured as possible. And meat of a large size in which there is plenty of fat to be digested together with substances similar thereto like those mentioned above; along with the consumption of butter or cream (as well) for flavor and nutrition, and milk from sheep's wool after it has been skimmed.
Cum hoc enim regimine fit coagulatio fracturae uelocius, et melius.	Furthermore in such a regime the bone will also harden more quickly by blood congealing within it itself and better heal.
Et scias, quod ossa fracta, quando sunt in uiris qui sunt in prima senectute, et decrepitis, non est possibile, ut continuentur et consolidentur secundum naturam suam semper, propter exiccationem membrorum eorum: et consolidantur et continuantur quae ex eis sunt in fine lenitatis, sicut ossa puerornm paruorum.	You know that broken bones in men who are old and decrepit cannot be maintained or strengthened according to their nature always because of the weakening of those very members: but they should continue and harden as durable, like children's human skulls (bones).
Verumtamen natura annectit super os fractum ex omni parte aliquid simile glutino, in quo est grossitudo, quo adhaeret et stringit ipsum, donec conglutinantur adinuicem, et ligantur adinuicem, donec uenit in fine fortitudinis et firmitudinis, sicut fuit in primis, donec non prohibet ipsum aliquid ab operationibus suis: et propter hanc caussam est necesse, ut ponas nutrimentum infirmi cibaria, in quibus sunt grauitas, et uiscositas, et grossitudo, sicut diximus.	However, nature connects the fractured bone with something resembling glue from all parts of it where there is swelling and adherence to itself until they are mixed together in a certain amount, which then becomes firmness and strength as before; for this reason we must put nutritious food that contains substances such as these.
Et scias, quod fracturae species sunt diuersae, secundum diuersitatem membrorum: quoniam fractura cruris, est diuersa a fractura ossis capitis: et fractura ossis pectoris, est diuersa a fractura ossis dorsi: et similiter reliqua membra omnia diuersa existunt adinuicem: et ego ueni cum rememoratione omnis speciei fracturae expositae in Capitulo suo distinctae ab alia.	And I know that the species of fractures are diverse, according to the diversity of limbs: for there is a difference between crural (leg) and cephalic (head) bone fracture: and pectoral (chest) bone fracture, it differs from dorsal (back) bone fracture. Similarly, all other parts have their differences to each other in the amount required; and I come with this exposition of every species of fractures presented separately under its own chapter excepted for a few that are treated elsewhere or not at all mentioned herein: as they do not require treatment because it is evident from examination, so there would be no benefit. Moreover, those whose nature does not permit healing through the above means will receive an alternative form of therapy and nutrition to ensure proper care for these wounds, which are often accompanied by acute pain and bloating due to inflammation: as we have described in detail earlier on regarding their substance. Furthermore, those who may experience additional complications like joint problems or neurological symptoms should be referred for specialized treatment following thorough examination of the injury severity and extent; this ensures comprehensive care encompassing all aspects necessary to optimize he
Et diuersificantur species fracturae ossis etiam in seipsa.	And different types also occur within themselves (bones).
Quoniam fit fractura eius arcuata, praeter quod accidant in ea astellae.	Since there is a curved fracture on it too, which occurs not only by falling into the water but also through other causes that may befall this bone structure during daily activities or traumatic events: as we have observed and discussed previously in relation to its unique an
Et quandoque fit fractura eius secundum longitudinem ossis: et sunt fracturae eius satagiae, id est, astellae, et additiones procedentes, sicut sunt in calamo, cum aptatur cultello ad scribendum.	And when it has a fracture along its length too; and there are also starfish (or sea stars), which can themselves be considered as "calamari" or jellyfish-like creatures, with additional elements similar to quills on their backs: just like ink is mixed into the writing tool of an engraver. Furthermore, this bone structure shares a similarity with starfish found within marine environments when considering its adaptive capabilities for regeneration and healing; both possess remarkable biological properties that enable them to recover from physical injuries caused by external impacts or predators
Et non procedentes: et est fractura cum uulnere et disruptione in capite: et est fractura fissura parua.	And when there are no following steps: and it is a transverse comminuted skull fracture with partial displacement of the bone fragments into separate pieces at an angle to one another, typically due to forceful impact or injury that causes severe deformation in this area.
Et omni speciei est ingenium, uel instrumentum proprium in restauratione eius, secundum quod ueniet rememoratio eius, distincta in locis suis.	And it is the art of healing for all kinds of injuries; particularly with a tool that belongs to him and mentioned herein at its specific locations.
Et ex eo quo cognoscitur fractura ossis, est tortuositas eius, et ipsius eminentia: et apparitio eius sensui, et sonitus eius quando comprimis ipsum manu tua.	And from that knowledge of a bone breakage is the curvature and heightened prominence; accompanied by its appearance in pain and sound when pressed upon with your hand.
Quando ergo non est in loco tortuositas apparens, neque sonitus apud tactum tuum cum tangis os cum agitatione, neque inuenit infirmus magnum dolorem: tunc non est illic fractura, imo possibile est, ut sit tortuositas, aut fissura parua: non ergo oportet, ut moueas ipsum cum manu et compressione omnino, imo pone super ipsum ex medicinis, quarum uenit rememoratio, post momentum illud quod conuenit loco: deinde stringatur strictura subtili.	When then it is not in such a place where the tortuosity appears; nor does there come to you with touch upon bone when pressed along its surface amidst disturbance, and no great pain arises within which fracture might be located: therefore, at this location one ought NOT to move your hand or apply compression entirely under medical guidance that recalls the aftermath of such momentum; hence then is a stringent restriction imposed on movement.
Et scias, quod locus quando arcuatur, et scinditur in duo, praeter quod accidant in eo satagiae, uerumtamen remouetur omnis pars a compari sua: tunc oportet tibi, ut incipias ab hora tua ad rectificationem eius, aequando ipsum antequam accidat ei apostema calidum.	And you know that when the bone arches and is split into two pieces besides where it has struck; but nevertheless all parts are drawn back together: at such time one must apply to have started from your own hour for its rectification, in equating itself beforehand as soon as possible while painful.
Si autem accidat ei apostema calidum, tunc dimitte ipsum diebus aliquot, donec quiescat apoestema.	If then a hot compress occurs due to its swelling; let it be released on certain days until the apest ceases.
Deinde aequa ipsum secundum quemcunque modum potest ex lenitate et ingenio.	Thereafter, accordingly according to whatever method can ease and requires skill in lightness and craftsm07463_1158b9d2-eae3-42e5-bccf-9058
Et scias, quod restauratio eius, et ipsius aequatio, est facilior quam ossis, in quo accidunt satagiae.	You know that the restoration and its equating is easier than bone itself where fractures occur; it seems to counter common beliefs about healing being more challenging within living tissue compared to hardened substances like our skeletal structure. It's a testament, perhaps surprisingly for some learners of medieval Latin medical texts, that the articulation and
Deinde stringe ipsum, secundum quod ueniet tibi rememoratio eius.	Therefore take it into consideration according to what has come to mind concerning this matter.
Si uero in osse sunt satagiae, tunc necessaria est extensio huius membri fracti ex duabus partibus, si manus sit, aut pes: aut cum manu tua, si membrum est paruum: aut cum duobus funibus, aut cum fune et manu.	If indeed there are stones within the bones, at that time it is necessary to extend this fractured limb from two parts, if fingers or feet are affected; and using your hand when a fragmented piece of bone (partium) remains: or with two ropes, or basket tied together on one end, holding by both hands.
Et sit positio tua qua ponis membrum super locum aequalem, secundum figuram suam naturalem, donec quando extenduntur partes membri fracti: tunc conare, ut redire facias illas additiones omni ingenio, et secundum quemcunque modum potes in locis suis: et caue secundum fortitudinem tuam, ne accidat super infirmum per operationem tuam dolor, neque laesio: et conare secundum fortitudinem tuam, ut applices unum duorum ossium cum socio suo, secundum meliores formas.	And let your position be where you place the limb upon an equal spot according to its natural shape until such time as they extend the parts of the fractured member: then interpose a spike or hook (conare) in any way that with all ingenuity can turn back those additions; and so, if possible, along whatever space you have at your disposal by yourself: and caue according to courage, that pain does not happen over the weak person due to operation on him: nor injury. And interpose again as far as strength permits placing one of two bones with its corresponding partner in better forms for healing (secundum fortitudinem tuam).
Et oportet in illa hora, ut tentes et tangas ipsum manu tua.	And it must be at that time when you pull and tie with your own hand.
Si ergo uides illic aliquid diuersum, rectifica ipsum, et aequa illud per quantitatem tuae uirtutis.	If indeed you see something different in that way for some time (rectifla), and straighten it out through the virtue of your equal force or strength applied at just measure: (quantitatum).
Et caue extensionem uehementem, et compressionem fortem, sicut faciunt multi stolidorum.	And extend with vigor and compress hard as they do in the case of stones lodged within bones ('stolidorum').
