Praefatio.	 Praiseworthy introduction
Praecipue, quae est prope iuncturas: et foedatur ex ea figura membri.	 Especially when it is about stitches; and it becomes detached from that figure on a member.
Et fortasse prohibet membrum ab operatione sua naturali.	 And sometimes it prevents the member's natural use of his own body.
Considera ergo tunc, si nodatio est recens: administra in ea medicinas quae stipticitatem habent, sicut aloe, et olibanum, et myrrha, et sarcocolla, et acacia, et similia eis.	 Therefore consider at that point if the treatment is with a rope; administer medicines containing astringency like aloe and myrrh, and others, and bitter substances such as acacia.
Ita, ut accipias ex istis quasdam, aut omnes eas: et confice eas cum uino stiptico, aut cum albumine oui, aut cum aceto: et pone eas super nodationem in stuppa, et stringe eas super ipsam strictura bona.	 In that case, either grasp some of those with a rope or all at once; and bind them with wine or vinegar or acid (wine acidity); then place them on the knotting above it, and tie them tight to the same good suture.
Et dimitte stricturam, nec soluas eam diebus multis.	 "Remove the stricture but not its cause from many days.
Deinde solue eam, et itera aliam, donec remoueatur nodatio.	 "Then remove that thing and try another one until the blockage is removed.
Aut stringe super ipsam laminam plumbi decenter.	 "Cut through the same membrane from both ends with a sharp knife.
Plumbo enim est proprietas remouendi omne quod timetur ex membris.	 "The membrane is the property that needs to be removed, which cannot be done without cutting into it from both sides.
Si autem nodatio iam in lapidem conuersa est, et stricta est, et festine prouocat necessitas ad auferendum eam: tunc finde super eam ex superiori parte eius, et incide superfluitatem eminentem: aut rade eam cum quibusdam rasoriis, donec remoueatur: et cura ipsam, donec sanetur.	 "If the blockage is in a stone and tight and pressing urgently for removal, then find it from above his part, and cut off excess material to one side with some forceps until it can be removed; then treat that which was found, so that it may heal.
¶ De curatione quando restauratur, et remanet membrum post illud subtile, non secundum naturam suam.	 "After the membrane is restored and remains after this subtle, not according to its nature.
Caput XXII.	 "Chapter 22.
Quando restauratur fractura ossis, et remanet membrum post illud subtile, debile: tunc non fit illud nisi propter caussas multas.	 "When the fracture of the bones is restored and the membrane after it remains subtle and weak, then that thing cannot be done except for many causes.
Quarum una est, multitudo solutionis ligamenti et ligationis eius non secundum quod oportet: aut propter superfluitatem stricturae ligamentorum, donec prohibeatur nutrimentum currere ad membrum: aut propter multitudinem embrocationis superfluae in non sua hora: aut propter paucitatem sanguinis in corpore infirmi, et debilitatem eius.	 "Of one there is a solution and ligature of his; not according to what should be done but for many reasons: either the ligament's stricture or the excessive embrocation, until the nutrition run to it may be prohibited: or for too much abundance in non-his hour: or for lack of blood in the weak body, and its weakness.
Et curatio illius est, cibare infirmum, et tenerum facere corpus eius, donec multiplicetur sanguis in eo.	 "The care of it is to feed a sick one, to make his body strong until he may multiply blood within him.
Et administra balneum.	 "And administer the medicine.
Et intromitte gaudium et laeticiam super eum.	 "And insert joy and gladness upon it [the sick person].
Deinde pone picem super membrum: ut attrahat pix ad ipsum nutrimentum multum.	 "Then place a needle over the membrane so that many a picture can be drawn into him with much nourishment.
Et assiduet embrocationem eius cum aqua tepida, donec currat nutrimentum, et redeat ad figuram suam naturalem.	 "And diligently administer to him with hot water so that the nourishment may run through it and return to its own nature.
¶ De curatione ossium fractorum quando restaurantur tortuose.	 "About the care of fractured bones when they are restored in a tortuous manner.
Caput XXIII.	 "Chapter 23.
Quando accidit membro iam restaurato post sanationem eius tortuositas, et eminentia ossi fracto, aut nodatio: et foedatur per illud forma membri, uerumtamen membrum non prohibetur ab operatione sua naturali: tunc non oportet ut recipias sermonem eius, qui existimat, ut frangatur membrum denuo.	 "When the member already restored after healing of it tortuousness has come upon him or a blockage and its form becomes a member, yet the membrane cannot be prohibited from its operation naturally; therefore one does not need to give a sermon to him who exists so that he may break it with force.
Et iam fuerunt multi stolidorum medicorum et restauratorum, qui fecerunt illud in terra nostra.	 "Many surgeons and restorers have come from foreign lands.
Et haec quidem operatio est uituperabilis ualde, perducens ad mortem, uel timorem magnum, ut scilicet sit mortalis.	 This operation is extremely difficult to perform, either causing death or great fear, so that it may be called fatal.
Verum si claudicatio et nodatio sunt recentes: tunc oportet, ut embrocetur cum aqua tepida, in qua decoctae sint herbae mollificantes, sicut folia alteae, et radix eius, et mellilotum, et illis similia.	 The recent collapse and paralysis require a treatment with hot water; boiled herbs should be used that are soothing, such as those of the elder tree, its root, mallow, and others like them.
Et fiat ei emplastrum cum emplastro mollificatiuo, sicut dyachilon decenter factum.	 A plaster made with softened linen should also be applied; it is effective for relaxing muscles.
Aut sumatur mucilago radicis alteae, et concutiatur cum adipe gallinae, aut oleo sisamino: et emplastretur cum eo.	 Or mallow roots can be used, or the lard of geese could also work; or you might use olive oil as well and apply them both.
Aut sumantur ficus pingues, et terantur cum fimo columbino, et similibus eis quae nominantur ex medicinis diminuentes consolidationem.	 Or fig leaves can be used too; or you might use pine resin mixed with columbine and other such things that help reduce swelling.
Et quandoque soluitur nodatio cum fricatione assidua, antiqua, et leni, quae fit cum manibus humidis.	 And sometimes paralysis can be treated by a combination of persistent friction, ancient, and gentle, which is like the treatment using human hands.
Et administretur motus membri ad omnem partem in horis omnibus.	 The limbs should be gently moved to all parts of the body in every direction possible.
Si autem tortuositas iam antecessit, et fortis facta est, et conuersa est in lapidem, et prouocata est necessitas ad curatonem eius cum ferro: tunc oportet, ut secetur superius eius, et soluatur continuatio ossis, et incidatur quod superfluit ex nodatione aut osse cum Incisoriis subtilibus: et administretur facilitas in illo cum sollicitudine et studio.	 If the body is already rigid and has been overcome with strong measures, then a firm grip of stone should be obtained to remove him from there; continue the treatment with the use of hands and incisions must also be made for those that are left behind due to the removal of swelling or bones with sharp instruments. And it should be applied with ease in this way using eagerness and persistence.
¶ De sermone in Dislocatione.	 Of the dislocation of the tongue.
Caput XXIIII.	 The 24th head
Dislocatio est exitus alicuius iuncturarum a loco suo.	 Dislocation is the exit from the joint, where it was.
Quare prohibetur a motu suo, et foedatur figura membri.	 Because of this, motion should be avoided and the member's appearance restored.
Et facit accidere super infirmum dolores, et laesiones uehementes.	 It causes injuries to the sick and those who are already injured.
Quando ergo accidit alicui dislocatio, tunc oportet festinare ad restaurationem eius: neque tardet eam omnino.	 Therefore, when a dislocation occurs, it is necessary then to take immediate action for its restoration; there should be no delay whatsoever.
Nam si tardatur, apostematur locus, et fortasse cum eo reductio dislocationis.	 "When time is delayed, separation occurs at that place, and sometimes with it reduction of dislocations.
Propter illud ergo non oportet, ut moueatur, neque extendatur in hora apostemationis eius.	 Therefore, it should not be done to prevent delay so that extension does not occur during the time of his separation.
Quoniam multotiens facit accidere spasmum, et dolores laedentes.	 Because many things cause spasms and pain accompanying them
Verum quando accidit illud, tunc oportet, ut properes ad phlebotomiam infirmi.	 Indeed when that happens, then it is necessary to order an intravenous infusion of fluids.
Deinde dimittatur, donec quiescat apostema.	 Afterwards, until he has stopped moving away from the time of separation.
Deinde embrocetur membrum cum aqua calida et oleo.	 Afterwards it is moistened with a warm bath and oil.
Deinde reducatur cum facilitate.	 Afterwards, it can be reduced easily.
Et curetur omne membrum cum eo cuius rememoratio ueniet in loco suo.	 And everything else is cured along with that memory that has forgotten its place.
Ego quidem iam ordinaui capitula dislocationis, etiam secundum quod praecessit in fractura, a superiori parte corporis usque ad inferiorem eius.	 I have already ordered the bones of the dislocated, and also according to what preceded it in fracture, going from the upper part of his body all the way down to its lower part.
¶ De cura dislocationis Mandibulae inferioris.	 Treatment for the lower jaw bone dislocation.
Caput XXV.	 The 25th chapter
Parum dislocantur duae Mandibulae nisi raro.	 The two jaws are rarely dislocated.
Et dislocatio ambarum fit secundum unum duoru modorum.	 And the dislocation of both is done in a manner similar to one of them.
Aut enim remouentur a locis suis remotione parua, et mollificantur parumper.	 Or they may be separated by movement from their places and softened slightly.
Aut dislocantur dislocatione integra, completa, donec mollificentur ad partem pectoris, donec currat saliua infirmi, et non possit tenere eam, neque possit claudere os suum, et inuoluatur lingua eius cum sermone.	 Or they may be separated by a complete dislocation until they are softened to the point of the chest and saliva is released as well as she can no longer hold her mouth shut and her tongue slips out with words.
Quando autem dislocatio eius est parua, tunc redit in pluribus dispositionibus per se cum paucitate.	 When their dislocation occurs suddenly they return to many positions by themselves with a few, but when it is complete then they are returned to the normal position on their own.
Si uero est dislocatio completa, integra: tunc oportet, ut administretur reductio eius uelociter, et non tardetur penitus: et est, ut teneat minister caput infirmi: et intromittat medicus pollicem manus suae unius in radicem Mandibulae dislocationis inter os eius, si dislocatio est a parte una.	 If the dislocation is complete and integral then it needs to be treated immediately either with immediate reduction or otherwise; and it is important that he holds on tight by having the head held by someone else so as not to miss out on any pain, whether it was due to one part or another of his jaw.
Aut intromittat duos pollices suos simul, si dislocatio est a duabus partibus.	 Or if both jaws are dislocated then he holds onto two fingers each at once.
Et reliqui digiti manuum eius sint extra, quibus aequet.	 The fingers are removed from his hand
Et praecipe infirmo, ut mundificet Mandibulas suas, et absoluat eas ad manducandum ad omnem partem.	 And he will perform the surgery with great care and precision; freeing them to move the hands up and down at all times.
Et medicus aequet Mandibulam, et impellat Mandibulam, donec redeat ad locum suum.	 The surgeon adjusts the amputated limbs and propels them until they reach their proper place (wherever that may be).
Quod si difficilis sit reductio eius, praecipue si sunt ambae Mandibulae simul: tunc administra uaporationem cum aqua calida, et oleo, donec fiat facilis reductio ambarum: neque tardes reductionem ambarum omnino, sicut diximus.	 If the surgery is difficult for him, especially if both hands are affected simultaneously; in that case he administers a mixture of warm water and oil to facilitate the process, until they become easier to separate (from each other).
Cum ergo redeunt et aequantur, et clauditur os infirmi, et non mollificantur: tunc pone super eas puluillos pannorum, cum ceroto quod sit factum ex cera: et oleo rosato.	 When they become equal and relaxed, and the arms weaken but do not soften (i.e., don't lose their firmness), then he places them over some kind of padding or cushion with a layer of wax on top; and oil is used for lubrication.
Deinde ligetur cum facilitate cum ligamentis mollibus.	 After that, they are tightened up again using soft bandages to regain some of the strength which had been lost.
Et sit somnus infirmi super dorsum suum: et caput eius sit stans inter duo puluinaria, ut non moueat ipsum ad dextram et sinistram: neque conetur, uel cogatur masticare aliquid: imo ponatur cibus eius sorbitio lenis, donec quando remouentur dolores, et nodatur Mandibula: tunc comedat quod uult, et administretur illud cum facilitate.	 He then sleeps on his back with a pillow between his head and two arms to prevent him from rolling over; not to chew or swallow anything (i.e., nothing goes down the throat). His mouth is bound gently in order that he may take only small sips of something, until the pain decreases and his limb is loosened up enough for the doctor to administer it with ease.
Non laboret super operationem oris sui apud comestionem et potum, et oscitationem, donec nodetur Mandibula, et sanetur.	 He does not eat anything by mouth during or after surgery and avoids breathing in any air; he is given something to take orally until his arm is loosened up enough for him to swallow normally (i.e., he's given food).
Quod si difficilis fiat reductio duarum Mandibuiarum, quando dislocantur in hora aliqua, et non conuertuntur ad loca sua: tunc multotiens accidunt inde febres, et soda assidua: et fortasse soluitur uenter infirmi, et fortasse uomit choleram puram.	 If the surgery is difficult for both arms at once and they become dislocated, then it may be necessary to apply heat frequently (in addition to oil) until they return to their proper place; there are also instances of severe fevers and heavy sweating that require additional measures or a change in diet towards purgatives.
Cum ergo uides illud: tunc scias, quia est perditio, et multotiens moritur ille cui accidit illud in decem diebus.	 When you know this has occurred, remember that it is a serious loss and many people who have suffered from such a thing may die within 10 days.
¶ De reducione dislocationis Furculae, et extremitatis humeri.	 The reduction of dislocations in the elbow (forearm) or any part of the arm
Caput XXVI.	 Twenty-sixth head
Furcula quidem non dislocatur ex latere intrinseco, propter continuationem suam cum pectore.	 The furcula cannot be dislocated from its own place because of its connection to the chest wall.
Et dislocatur quandoque ad exteriora: et declaratur illud sensui.	 However, it may sometimes be dislocated externally; and this is felt by the sense.
Et restauratio eius est, ut iaceat infirmus super dorsum suum, et extendat brachia sua.	 The restoration of its connection to the chest wall allows for relief on the back and extending of the arms.
Deinde coarta locum cum palma tua coartatione forti, nam ipsa redibit.	 Therefore, when you join your palm with the right hand's strong grasp, she will be restored.
Deinde pone super ipsam emplastrum, et puluillos, et stringe eam.	 Then place it on her own clasp, and pull gently and firmly, until she is recovered.
Extremitates uero eius quae sequuntur cubitum, et continuantur cum eo, non dislocantur, nisi raro.	 Those that follow the elbow joint remain in their place, continuing with them without dislocation, unless rarely.
Quod s dislocatur die aliquo: tunc oportet, ut reducatur et aequetur secundum quod diximus, et quod praeparatur tibi.	 Whenever it is dislocated on one day; then you must reduce and equalize it according to what we have said, and prepare yourself for it.
Deinde pone super ipsam emplastrum, et puluillos, et stricturam.	 Then place her back into her own clasp, and pull gently but firmly until she is restored.
Et praecipe infirmo, adhaerere tranquillitati et quieti, donec sanetur.	 And you must gently hold the injured one, with ease and tranquility, until he recovers his strength.
Et cum hac eadem curatione reducitur extremitas Humeri, quando separatur etiam a loco suo.	 And with this same care, the extremity of the arm is reduced when it is separated even from its own place.
¶ De reductione dislocationis Humeri.	 Of the reduction of dislocated arms.
Caput XXVII.	 Twenty-seventh head.
Scias, quod Humerus non dislocatur, nisi secundum tres modos.	 It is known that the arm cannot be dislocated except in three ways.
Quorum unus est, ut dislocetur ad partem titillici ad inferiora.	 The first way is to dislocate it so that its lower end is pulled upwards towards the tip of a finger.
Secundus est, ut dislocetur ad partem pectoris.	 The second way is to dislocate it from near the chest wall.
Et fortasse dislocatur ad superiorem partem Humeri: et illud fit raro.	 And perhaps it may be dislocated externally towards the top of the arm; but this is rare.
Et non dislocatur ad posteriora, propter spatulam.	 It cannot be dislocated backwards for fear of hitting the shoulder blade.
Et non dislocatur ad anteriora, propter neruos.	 And it cannot be dislocated forwards, due to the nerves.
Et plurimum quidem dislocatur et egreditur ad inferiora uersus titillicum: praecipue in illis, quorum carnes sunt paucae.	 It is most likely to dislocate and reduce downwards towards the tip of a finger; especially on those whose flesh is thin.
Quoniam egrediur in eis uelociter, et ingreditur uelociter.	 For when you pull it back in quickly, and release it quickly.
In illis autem quorum carnes sunt multae, est econtrario illius, scilicet quia egreditur cum difficultate, et ingreditur cum difficultate.	 In those whose flesh is abundant are they opposite one another; for their appetite grows with difficulty and their digestion with difficulty
Et fortasse accidit quibusdam hominibus percussio, aut casus, et apostematur Humerus apostemate calido, et putatur propter illud, quia iam dislocatus est.	 And some men have died from blows or illness and the arm is torn off by its fellow in a heated state; so that it is dislocated because of this occurrence
Oportet ergo, ut experiaris illud, donec stes super certitudinem eius, et tunc procedas in curatione eius.	 Therefore you should seek out what happened to him until he has proven his story and then proceed with the treatment of that part of the body.
Et cognoscitur dislocatio, quando est ad inferiora uersus titillicum: et distinguas inter Humerum dislocatum, et humerum sanum.	 The dislocation is known when it is below and opposite to the wrist; distinguish between the dislocated arm and the healthy one.
Nam tu inuenis inter eos diuersitatem manifestam, et inuenis in capite Humeri concauitatem, et sub titillico apud tactum caput humeri quasi ipsum sit ouum: et non potest infirmus reducere manum ad aurem suam, neque mouere eam omnibus motibus.	 You will find a difference between the two and distinguish the one at the top of the arm from the other; and you should grasp it under the chin as if it were your own hand so that you cannot weaken its grip on your shoulder but cannot move it with all your movements.
Et similiter, si dislocatur uersus pectus, aut ad sursum: tunc inuenis manifestum tactum, neque occultatur.	 Similarly if the dislocation is above or to the side; then you should find a visible touch and it cannot be hidden.
Et huius quidem dislocationis fit facilis reductio, quando est recens, aut infirmus est puer.	 And this kind of dislocation reduces easily when there are no longer any restrictions on his movement or he is young.
Et reductio eius est, ut eleuet minister manum suam ad superiora.	 The reduction of that part will be so you can let your hand go to the top.
Deinde pone tu pollices tuos sub titillico eius, et eleua iuncturam cum fortitudine ad sursum ad locum suum: et minister eleuet manum suam, et extendat eam ad sursum.	 Then put your fingers under it and gently pull with strength towards the top; you will release the grip while extending to its own place and then let go of the hand.
Deinde ponat eam inferius, ipse enim redit uelociter.	 And afterwards he puts her back down below and straight away releases or moves her quickly
Si autem non redit per illud quod diximus, et sunt a principio quo accidit dislocatio dies multi: tunc oportet, ut balneetur infirmus in aqua calida, et administretur embrocatio quae mollificat et lenit, sicut si decoquantur radices alteae, et foenugraecum, et mellilotum in aqua, et administretur.	 If he does not release as we have described and there are many days from the beginning when dislocation occurs; then it is necessary that a cold bath be given to him, so that he may recover through the use of embrocation which soothes and cools just as if the roots were cut off by frost or the leaves of the apple tree wither in water and so on.
Deinde resupinetur infirmus super dorsum suum: et ponatur sub titillico eius sphera et lana, quae sit aequalis inter lenitatem et stricturam.	 Then he is placed back down onto his back; and put under it the sphere of wool that lies between restraint and freedom.
Deinde ponat medicus calcaneum suum super spheram, et eleuet caput humeri cum uirtute, et attrahat manum infirmi ad inferiora.	 Then lay the surgeon upon his heel and lift up his head with a stroke of skill, then stretch out his arm to bring it down gently
Et minister alius teneat caput infirmi, ut non moueatur ad inferiora: ipse namque redit statim.	 And another assistant should hold onto the surgeon's head so that it does not move downwards; he himself will soon be lifted up again.
Et si uis, reduc eum secundum modum hunc: et est, ut facias esse praesentem uirum qui sit longior infirmo, et stet a parte lateris, et intromittat humerum suum sub titillico infirmi: et eleuet titillicum eius ad superiora, donec sit infirmus suspensus in aere.	 And if you wish to bring his body down this way; he will be lifted up by an assistant on the opposite side so that it lies flat and its arm is brought downwards under control of the assistant, then lifted upwards towards himself from there until the limb is held suspended in the air
Et minister alius trahat manum infirmi ad inferiora uentris eius.	 And another assistant should hold onto the surgeon's hand so that it moves downward; he will be brought up again by an assistant on the opposite side.
Si autem infirmus est leuis: tunc oportet, ut suspendatur cum eo aliquid aliud, ut grauet ipsum: nam redit dislocatio statim.	 If the limb is weak and should not move; then it's necessary to hold onto him something else so that he can be lifted up again; as for the dislocation, this will happen quickly.
Et reducitur etiam secundum modum alium: et est, ut figatur in terra lignum longum, cuius caput sit rotundum figura: sicut manica mortarii: quod non sit grossum, neque subtile.	 And can also be brought down by another method; as when a long stick with a round head is used so that it may rest on the ground like the hand of death which should not be heavy nor thin.
Deinde ponatur sub infirmo postquam ponuntur super caput ligni panni lenes: et infirmus sit stans secundum longitudinem ligni.	 Then lay him under after he is laid on a long stick; and then the limb will remain in place according to the length of the stick.
Deinde extendatur manus eius ad inferiora a parte altera, et extendatur corpus eius ab altera parte cum fortitudine: nam iunctura redit ad locum suum cum uelocitate.	 Then his hand is stretched out to its opposite side and the body from the other side with strength; as for the joining together it will be in place with a firm connection.
Quod si difficilis sit eius reductio per omnia quae diximus, tunc utere hac cura: et est, ut accipias lignum cuius longitudo sit quantitas duorum brachiorum, et eius latitudo quantitas quatuor digitorum, et grossitudo eius quantitas duorum digitorum: cui sit caput rotundum, ut alleuietur introitus eius in profundum titillici, secundum hanc formam.	 And if the reduction of his body is difficult through all that we have described; then use this care; and it will be as when you take a stick whose length is equal to the sum of two arms, its width is equal to four fingers, its thickness is equal to the sum of two fingers, its head rounded so that he may be lowered into the depths with control in this shape.
Deinde ligentur super caput rotundum panni lenes, ut non laedat lignum infirmum.	 Then wrap a soft stick around his round head to prevent him from falling off.
Deinde ponatur sub titillico infirmi, ut extendatur manus, aut brachium super lignum usque ad inferiora: et ligetur lignum super adiutorium et brachium et extremitatem manus.	 Then lay him under the control of an assistant so that his hand may be stretched out or be held by a stick above it all the way down to its opposite side; and bind the stick above the other arm and the end of the hand with binding materials.
Deinde ponatur brachium super gradum scalae per latitudinem, et extendatur manus ad inferiora, et dimittatur reliquum corpus suspensum a parte altera.	 In order that the arm be placed on the steps and extended downwards towards the lower part of it so that the hand is moved to its lowest extent while leaving the other body suspended in support
Iunctura enim ingreditur statim.	 The stroke should immediately follow.
Cum ergo completur introitus eius secundum quemcunque modum possibile est: tunc oportet, ut ponas sub titillico spheram aequalis quantitatis ex lana.	 When the entrance is thus completed according to whatever manner possible, it must be done that one places an equal quantity of wool balls beneath [the patient's] ear.
Deinde pone emplastrum praeparatum ex puluere molendini cum olibano, et albumine oui super humerum totum, sicut reuoluitur desuper.	 After the above, apply a pre-prepared plaster from flour mixed with water and egg white on all of his body as was done previously.
Deinde stringe sub titillico strictura decenti: et reuoluatur ligamentum super emplastrum desuper: et annectatur manus eius ad collum ipsius, et dimittatur, neque moueatur manus eius septem diebus.	 After all of that, tie the plaster bandage tightly and it should be able to hold up well. The arm will then be extended upwards towards its body as was previously mentioned and is left immobilized for seven days.
Et oportet, ut ponatur cibus infirmipaucus, donec confortetur membrum: quoniam est uelocius ad sanationem eius.	 It must also be done that the limb of the sick person be placed so as to be in a comfortable position for its recovery since it is one of the means towards his health improvement.
Deinde ponatur amplior post septem dies, aut quinque, et ex ercitetur cum motu.	 After seven days or five, when he's placed on a stretcher and moved to somewhere suitable.
Si ergo firmatur et non mollificatur, tunc iam sanatus est.	 If it then becomes firm but does not loosen up, at that time the sick person is cured.
Si uero iunctura dislocatur multotiens, propter humiditatem quae accidit ei, aut propter caussam aliam: tunc oportet, ut administretur in ea cauterium cum tribus foraminibus, secundum quod praemissum est in capitulo de cauterio.	 If the stroke occurs due to excessive moisture that has happened [to him] or because of another reason, it must be done so that a cautery is administered with three holes as was mentioned before in the chapter on cautery.
Quod si fiat hoc totum, et soluatur ligamentum post septem dies, et non confirmetur iunctura, et reducatur emplastrum et strictura super ipsum aliquotiens, et non firmetur, et cadat, et non possit eleuare ipsum ad superiora: tunc scias, quod nerui eius qui sunt ad caput humeri, iam incisi sunt, aut extensi, aut mollificati: et scias, quod iunctura nunquam figetur in loco suo.	 If everything is done as mentioned above and the bandage loosens after seven days without being tightened up again, it must be cut off and thrown away because it cannot stay fixed to him and he will not be able to raise himself up with his arms stretched out or loosened up either: then you know that the hand injuries are made.
Dislocationis autem quae fit uersus pectus et mammillam, aut ad posteriora reductio, fit cum impulsione et extensione cum manibus: donec redeat, et administretur in ea reliqua strictura et cura, donec sanetur.	 Or if a dislocation occurs on the breastbone or nipple, or towards the back, it can be done with the use of force and stretching with the hands until it is no longer there after which the remaining bandage must still be applied so that he may heal.
Quod si accidat post sanationem grauitas in membro, et tarditas in motu eius, tunc utatur infirmus balneo multotiens, donec leniatur illa grauitas, et redeat ad naturam eius primam.	 If the wound is treated after a certain period of time has passed and there is swelling and slowness in motion due to it, then that member becomes weak from lack of blood flow many times over, until finally the pain subsides and returns to its original nature
¶ De curatione dislocationis Cubiti.	 Of dislocations involving the Cubitus.
Caput XXVIII.	 Head 28th.
Scias, quod iunctura Cubiti dislocatur cum difficultate, et similiter redit cum difficultate etiam: et ipsa quidem dislocatur ad omnes partes, et praecipue ad anteriorem, aut ad posteriorem.	 If the cubitus joint is dislocated with difficulty and also returns to its original position with difficulty as well; it itself may dislocate from all parts especially towards the anterior or posterior regions.
Et eius dislocatio non occultatur tibi: quoniam est cadens sub uisu, et sub tactu, secundum quamcunque figuram dislocetur.	 The dislocation of that joint is not hidden from you because it lies beneath the hand and under touch; according to whatever position it may be dislocated in.
Et quando coniungis cubitum dislocatum cum sano, declaratur tibi illud manifeste.	 When you connect a dislocated Cubitus with a healthy one, that is clearly visible to you.
Concauatur enim iunctura, et non potest duplicare brachium, neque tangere cum eo humerum suum.	 The joint becomes swollen and cannot simultaneously use the arm; it can only move while separate from it.
Et oportet, ut properes, et reducas dislocationem statim, antequam accidat ei apostema calidum.	 It is necessary that you should make haste to restore the joint immediately before any cold comes upon it.
Nam si accidit ei apostema calidum, difficilis fit eius reductio: et fortasse non sanatur omnino, praecipue quando est ad posteriora.	 If a cold attacks that member, then the reduction of its dislocation becomes difficult; perhaps it will not recover at all, especially if it is towards the posterior region.
Est enim deterior omnibus speciebus dislocationis, et uehementioris doloris eis: et multotiens descendit cum ea mors.	 The dislocation itself has many forms and its pain increases; sometimes they even fall with death accompanying them.
Et restauratio eius quando est ex eis quae possibile est reducere, est, ut extendatur manus eius cum duabus manibus: et brachium eius sit expansum, et manus medici sint supra cubitum et sub eo, et ipse impellat iuncturam cum pollicibus manuum suarum simul, aut cum radice palmae suae, donec redeat ad locum suum.	 The restoration of that joint when it can be reduced is as follows: the hand is extended with two hands; the arm is fully expanded and the hands of a physician are above and below the joint, while itself it presses down on the dislocation by using both its hand or the palm's root until it returns to its place.
Aut uero dislocatio est ad anteriora: tunc redit ita, ut duplicet manum cum manu sua, donec percutiat cum radice palmae suae cubitum qui est dislocatus.	 Alternatively the dislocation can be towards the anterior; then it returns in this way to double up its hand with its own hand until it strikes against the dislocated Cubitus's root.
Quod si non obedit dislocatio ad reductionem, tunc administra extensionem uehementem, fortem ualde: et est, ut extendant brachium duo ministri: et teneant ipsum duo ministri etiam, ut non remoueatur apud extensionem.	 If the dislocation cannot be reduced then administer an intensive and strong stretch; it is as follows that two ministers expand the arm while holding onto it from both sides so that it may not be moved away by stretching.
Deinde reuoluatur brachium ad omnem partem postquam inuoluitur super manum eius pannus duplicatus longus, aut ligamentum latum.	 After having been moved away from its original position above one's hand due to a broken strap on the forearm or wrist being stretched too far
Et quando tangit medicus manu sua iuncturam, inungat ipsam cum oleo: ut sit illud ex eis quae adiuuant in lubricitate iuncturae cum facilitate.	 And when the surgeon joins up with oil on his own hand after having cleaned it himself with lubrication, making use of those that are applied to facilitate the joining process
Deinde impellat iuncturam impulsione uehementi, donec redeat.	 The joining motion is completed by a strong force.
Et post reductionem eius oportet, ut ponatur super ipsam emplastrum, in quo sit stipticitas, et exiccatio cum albugine oui: et stringatur strictura decenti.	 After the reduction of it (the strap) is necessary to put it on top of its own wrapping, which provides support and allows for proper movement; then stretch and tighten with a bow tie in order to achieve the desired tightness.
Et suspendatur brachium a collo infirmi: et dimitte diebus aliquot.	 And the arm is lowered from the shoulder to the elbow after having been reduced by a certain amount of time.
Deinde soluatur.	 The motion is completed.
Si ergo firmatur iunctura in loco suo, tunc solue ligamentum ab ea, et dimitte ipsam.	 If the joining operation becomes solid at its own place, then remove it (the strap) immediately afterwards and dispose of it.
Et si uides iuncturam non bene stringi, tunc itera emplastrum, et ligamentum, et dimitte ipsam diebus aliquot, donec stringatur.	 If you find that the joining is not done properly, then try again with another wrapping and remove (the strap) after a certain amount of time has passed, until tightening occurs.
Deinde solue ipsam.	 The motion is completed.
Si autem accidit ei grauitas post reductionem iuncturae, et dispositio sit in motu: tunc administra humectationem in balneatione, et fricationem subtilem, et compressionem, donec liniatur, aut pone super iuncturam iliati, id est, natem arietis pinguem.	 If the joining process causes the strap to be injured after reduction, then make adjustments according to motion; that is, administer wet dressing in bathing water and apply rubbing and compressing techniques until the wound is closed or if it is put over the joining point (the strap), as long as a small piece of flesh remains.
Deinde ligetur, et dimitte ipsam super eam die et nocte.	 And tie up again with another strap after day and night.
Deinde aufer eam, et intromitte ipsum in balneum.	 And remove it afterwards from that place in a bath
Cum ergo sudat, tunc frica iuncturam fricatione temperata.	 After cleaning up, apply rubbing and tightening techniques to the joining operation.
Deinde itera super ipsam aleliati uice una, et secunda, et tertia cum introitu balnei, donec leniatur.	 Repeat this process with another strap after each one, until it is done properly.
Et si uis, pone super ipsam stercus uaccinum, humidum, calefactum cum butyro, et stringe super ipsum.	 If there's a knot above the joining point (the strap), wet it with butter, apply heat and tighten on top of that.
Fac illud aliquotiens.	 Do this repeatedly until it is done properly.
Ipsa namque lenitur, et redit ad dispositionem suam.	 The flesh is removed and returned to its own place
¶ De curatione dislocationis Almahassem.	 Of cuts
Caput XXIX.	 Chapter 29
Mahassem manus multotiens dislocatur, id est, iunctura quae est inter brachium et manum.	 The hand is cut through multiple times, meaning the incision made between the arm and hand.
Et reductio dislocationis eius est facilis.	 Reduction of this injury is easy.
Econtrario reliquarum iuncturarum.	 After cutting off all fingers
Verumtamen oportet, ut uelocitas sit in reductione dislocationis eius in hora in qua dislocatur, antequam apostemetur locus: aut accidat in eo apostema calidum.	 However it is necessary that the wound should be bandaged before it has been dislocated and afterwards, to prevent a cold or hot object from coming into contact with the injury at the time when the dislocation occurs.
Et reductio dislocationis in eo est, ut ponas Mahassem manus infirmae super tabulam, et extendat minister manum eius: et ponat medicus palmam suam super eminentiam iuncturae, et impellat eam, donec redeat.	 The reduction of the dislocation is to place a soft bandage over the hand and extend it across so as to support the arm; and then put on the doctor's palm that incision which was made, so that he may move it gently downwards until it becomes detached.
