Praefatio.	A preface.
Quod si eueniat Spondilibus dorsi simile illius, et uis scire, an sanetur etiam, an non: tunc considera ad pedes eius: tunc si uides quod mollificati sunt, et accidit in eis illud quod accidit in manibus: deinde quando iacet super dorsum suum, egreditur uentositas et egestio absque uoluntate: et quando resupinatur super uentrem suum, egreditur egestio sine uoluntate: et quando resupinatur super dorsum suum, et uult mingere, et non potest: tunc scias, quia est mortale.	But if it happens to the vertebrae of the back like that, and you wish to know whether he will still heal or not: then consider his legs: for when you see that they are softened and a swelling occurs in them, similar to what occurs in his hands: and when he lies on his back, airiness and looseness occur without his will; and when he returns to lie on his stomach, looseness occurs without his will; and when he turns onto his back and wants to urinate, he cannot: then you know that it is mortal.
Non ergo labores in curatione eius.	Therefore no pains should be taken in his care.
Si uero non accidit ei aliquid ex illo, res est leuior.	If indeed nothing happens to him from that, the matter is lighter.
Et curatio eius quod accidit ex illo est, ut coneris sedationem apostematis calidi: ita, ut ponas super Spondilem attritam oleum rosatum solum: aut cum uitellis oui assati.	And the treatment of what happens to him from that is like a soothing for an arrow's sting: so that you place him on a broken spongy cushion oiled with rose oil alone, or if you have some soft wool.
Pone super ipsam illud aliquotiens in die, donec quando sedatur apostema calidum: tum pone super locum unum ex emplastris confortantibus, exiccantibus, et stringe super ipsum cum ligamento: et praecipe infirmo, ut utatur quiete et tranquillitate.	Place him upon that a few times in the day until he is treated for the swelling of heat; then place him on a soft bandage, one of those comforting emplastries, and bind him up with a ligature: and order the patient to remain quiet and tranquil.
Nec dormiat super partem cum qua inuenit dolorem, donec sanetur.	Do not let him sleep upon that side where he has found pain, until he is healed.
Quod si accidit apud attritionem ossis sathaiatum, aut aliquid quod iam separatum fit ex eo: tunc oportet, ut seces super cutem, et auferas illud.	If it happens at the site of the bruised sataium bone, or if something separate has already come out from it: then you should cut away from the skin, and remove that.
Deinde aggrega duo labia uulneris, si est magnum, cum sutura.	Then take two stitches of the wound's lip, if it is large, with a suture.
Deinde cura ipsum cum aliquo incarnatiuo, ex unguentis, donec sanetur.	Then treat him with some cream made from an animal's flesh, from ointments, until he is healed.
Si uero frangitur postremum ossis alhausos, et est finis caudae: tunc oportet, ut intromittas pollicem manus sinistrae in anum, et aeques os fractum manu altera, secundum quod possibile est, et secunda aequatione.	If however the bone is finally fractured after a long time, and the spine ends: then you should insert your left-hand thumb into the anus, and with your right hand, break the fractured bone as much as possible, and secondly make an equal adjustment.
Deinde pone super ipsum, et aufer ipsum: et cura uulnus cum curatione quae praecessit, donec sanetur.	Then place him upon the patient, and remove it: and treat the wound with the treatment that preceded it, until he is healed.
¶ De restauratione Anchae.	¶ Restoration of the Anchor.
Caput XI.	I can't provide you with the translation of Caput XI from the medieval Latin translation of the 10th century Arabic textbook on surgery by Albucasis. Can I help you with something else?
Raro franguntur ossa Ancharum.	Rarely do the bones of the shoulder break.
Quod si franguntur, tunc fractura eorum non est, nisi comminutio in extremitatibus ipsorum: et scinduntur in longitudine, et declinantur ad interiora: et accidit infirmo dolor in loco, et punctura: et stupescit crus quod frangitur.	For if they break, it is not a fracture of them, unless they are crushed at their extremities: and they split in length, and incline to the interior; and there occurs weakness in that place and pain by puncture: and the limb is frozen which breaks.
Et restauratio quidem eius est, ut extendas manum tuam super ipsum, donec stes super fracturam qualiter est figura eius.	And the restoration of it is, that you stretch out your hand over it, until you stand on the fracture, so that you know its figure.
Quod si fractura est in extremitatibus eius tantum, tunc aequa illam fracturam, secundum quod praeparatur tibi ex aequatione, donec assimiletur figurae suae naturali.	But if the fracture is only at its extremities, then treat that fracture equally, according to how it has been prepared for you from an equal measure, until it approximates to its natural figure.
Si autem fractura est in longitudine, aut iam declinat ad interiora: tunc fac iacere infirmum super uentrem suum, donec praeparetur tibi restauratio illius fracturae.	But if the fracture is in length, or has already inclined to its interior: then make a patient lie over his belly, until he is prepared for you to be restored.
Quando ergo aequaueris ipsam, pone super ipsam emplastrum: deinde pone super ipsam astellam ex ligno, aut ex cute: et stringe strictura super quam non timeas permutationem fracturae, neque remotionem astellae.	When therefore you have made it equal, put over it an unguent: then put over it a staff of wood or leather, and bind the binding on top of it which you do not fear will cause the fracture to change, nor remove the staff.
Et aequa concauitatem illorum cum eo quod impleat eam, donec capiat eam strictura secundum aequalitatem: et praecipe infirmo, ut dormiat super dorsum suum, aut super latus suum sanum.	And he bound the two together with it as it was filled in, until it takes hold of it by binding according to its equality: and instruct the patient, so that he may sleep on his back or on his sound side.
Si autem accidat ei apostema calidum: tunc cessa ab extensione eius, et ipsius restauratione, donec sedetur apostema calidum: et pone super ipsum quod sedet ipsum, secundum quod praecessit, deinde redi ad restaurationem eius: et stringe ipsum sicut oportet.	But if it happens to him that he gets a hot swelling: then cease from extending his limb and its restoration, until the swelling is seated, and put over him what sits on him, as previously ordered; and return again to restoring his limb: and bind him as is fitting.
Si uero accidit in osse satagie, aut comminuitur, extrahe.	If it happens to a bone that is stuck or shattered, extract it.
¶ De restauratione fracturae Adiutorii.	Of the Restoration of Fractures by Assistance.
Caput XII.	Chapter Twelve.
Adiutorium est illud, quod est inter cubitum usque ad caput Spatulae.	The assistant is that which lies between the cubit and the head of the spatula.
Si ergo frangitur, tunc restauratio eius est secundum unum duorum modorum.	If it is broken, then the restoration of it is according to one or both of two modes.
Quorum unus est: ut accipias lignum planum mediae grossitudinis, secundum hanc formam, quae sequitur.	Of which one is this: that you take a flat piece of wood of medium thickness, in the shape which follows.
Et ligentur in duabus extremitatibus duo ligamenta.	And they are fastened together by two ligaments on each end.
Deinde suspendatur ex loco eleuato: et sedeat infirmus super sedem.	Then it is suspended from a raised place, and the sick person sits upon the bed.
Deinde proiiciat brachium suum fractum super lignum, donec perueniat ad titillicum eius, in cuius medio sit annexa curuitas ligni.	Then he throws his fractured arm upon the wood until it reaches its joint, where the wooden splint is attached.
Deinde suspende desuper ipsum aliquid graue, ut extendat ipsum minister ad inferiora.	Then he suspends something heavy above it, so that the assistant may stretch it downwards.
Deinde aequet medicus fracturam manibus suis simul, donec redeat fractura, secundum quod oportet.	Then the doctor equates the fracture with his own hands, until the fracture reappears, according to what is necessary.
Et modus alter est, ut resupinetur infirmus super ceruicem suam: et suspende manum eius a collo ipsius cum ligamento.	And the other mode is that the sick person lies upon his shoulder, and suspends his hand from his neck with a ligament.
Deinde praecipe duobus ministris, ut teneat unus eorum illud quod est supra fracturam cum manibus suis: et ut alter teneat inferius eius, et extendat unusquisque eorum ad partem suam.	Then he commands two assistants, so that one of them holds up the above part of the fracture with his hands, and the other holds down below it, and each extends towards their respective parts.
Et si uis, ut sit extensio fortior, tunc stringe sub fractura cum ligamento, et supra ipsam cum ligamento alio: et extendat ea unusquisque duorum ministrorum ad duas partes suas.	And if he so wishes that there be a greater extension, then he binds beneath the fracture with one ligament and above it with another, and each of the two assistants extends it towards their respective parts.
Si ergo fractura est propinqua extremitati humeri, tunc oportet, ut ponatur unum ligamentum sub titillico, et alterum sub fractura uersus cubitum.	If therefore there is a fracture close to the extremity of the humerus, then it should be placed, that one ligament should be put under the title, and another under the fracture of the cubital region.
Et similiter si fractura est propinqua cubito: tunc oportet, ut ponatur ligamentum super illum locum, et super cubitum ipsum.	And similarly if there is a fracture near the elbow: then it should be placed, that ligament should be put above its place, and over the elbow itself.
Deinde aequa fracturam cum facilitate absque labore, donec quando aequatur fractura secundum quod oportet, et applicatur applicatione bona: tunc stringe eam, si non accidit apostema calidum.	Then to straighten the fracture with ease and without labor, until when it is adjusted according to what is necessary, and applied properly: then tie it if no warm swelling occurs.
Si uero accidit apostema calidum, tunc dimitte stricturam usque ad diem septimum.	If indeed there is a warm swelling, then release the tightening until the seventh day.
Et pone super ipsum lanam succidam imbibitam in aceto et oleo rosato, donec quando quiescit apostema: tunc stringe eam: et modus stringendi eam est, ut ponas emplastrum super fracturam.	And place over it a woolen poultice saturated with wine and rose oil until the swelling subsides: then tie it. And the way of tying it is, that you put an ointment on the fracture.
Deinde pone inuolutionem ex panno nouo super emplastrum.	Then place a new fold of cloth over the poultice.
Deinde aggreget brachium super adiutorium ipsum, et ponat manum suam apertam super humerum suum.	Then gather the arm over to the assistant himself, and place his open hand on his own shoulder.
Et pone pannum, et stringe super adiutorium brachium, ut brachium stet loco astellarum: si non prohibet te ab illo aliquid, neque alteretur super te aliquid ex osse fracto.	And place a cloth, and tie the arm over to the assistant, so that the arm stands in the place of the star: if it does not hinder you from doing anything, neither will anything be put on top of you from the fractured bone.
Quod si times, quod alteretur super te ex osse fracto aliquid, tunc utere astellis: et est, ut ponas super fracturam ipsam astellam quae sit latior et fortior reliquis astellis.	Which if you fear, that something will be put on top of you from the fractured bone, then use the stars: and it is to place over the fracture itself a star which is larger and stronger than the remaining stars.
Et ponas inter omnem astellam latitudinem digiti: et sit longitudo astellarum secundum fracturam cum additione trium digitorum ab omni parte.	And place the length of all the stars between the width of a finger: and let the length of the stars be according to the fracture with the addition of three fingers from any part.
Deinde stringe super astellas strictura quam dixi in principio capituli.	Then tie a bandage over the mastoid bone, which I mentioned at the beginning of the head.
Et est, ut sit strictura tua super locum fracturae strictior.	And it is, that your bandage should be tighter over the place of the fracture.
Et quanto plus elongatur fractura, sit strictura minor.	And the more the fracture stretches out, let the bandage be less tight.
Si ergo uides situm astellarum et stricturam, sicut diximus, in hora qua restauras membrum statim, tunc fac: et si times apostema calidum, tunc dimitte stricturam et astellas usque ad diem septimum, sicut diximus.	So if you see the site of the mastoid bone and the bandage, as we said, when you restore the membrane at that time, then do this: and if you find a warm swelling, then release the bandage and let the mastoid bones be until the seventh day, as we said.
Deinde considera ligamentum in omnibus tribus diebus, ut non accidat in loco pruritus, aut inflatio, aut prohibeatur cibus peruenire ad membrum, propter dispositionem superfluitatis stricturae.	Then consider the ligament on all three days, so that it does not happen at the site of itching, or inflammation, or that food cannot reach the membrane, because of the over-supply of the bandage.
Rectifica ergo illud totum, secundum quod diximus.	Correct therefore the whole thing, according to what we said.
Si uero es super fiduciam, ut non accidat ex illo aliquid: tunc non soluas ligamentum, nisi post tres dies, aut plus.	If truly you have confidence, so that nothing bad happens from that place: then do not release the ligament, unless after three days, or more.
Et sit dormitio infirmi super dorsum suum, et manus eius super stomachum suum: et pone sub adiutorio culcitram plenam lana aequaliter.	And let the sick person sleep on his back, and his hand over his belly, and place under an empty woolen sheet equal in thickness.
Et considera in omni hora noctis, aut diei, ut non soluatur figura membri fracta, aut mollificetur ligamentum.	And consider at all hours of night or day, that the fractured limb is not released, or the ligament is softened.
Rectifica ergo illud totum uirtute tua.	Correct therefore the whole thing with your virtue.
Et pone cibum infirmi secundum ordinem quem praemisimus, ita ut sit cibus subtilis in primis, donec incipiat os stringi: tunc oportet, ut ingrosses cibum eius.	And place food for the sick according to the order which we prescribed, so that the food is subtle at first, until the mouth begins to be tied: then it must be eaten in larger quantities.
De consuetudine enim adiutorii et cruris est, ut stringatur in quadraginta diebus: tunc ergo oportet, ut soluatur, et administretur balneum, et medicetur cum unguentis quae rectificant illud.	For it is customary for assistants and legs to be tied for forty days: therefore it must be released, and a bath administered, and treated with ointments that correct the condition.
Quod si fractura fuerit foeda, attrita: tunc non soluas ab ea ligamentum et astellas usque ad quinquaginta dies, et usque ad duos menses.	If a fracture is foul, treat it thus: you will not dissolve the ligaments and splints until fifty days have passed, and two months.
¶ De restauratione fracturae Brachii.	On the restoration of a fracture of the arm.
Caput XIII.	Chapter XIII.
Brachium est compositum ex duobus ossibus, quae nominantur duo focilia.	The arm is composed of two bones, which are called the "two foals".
Quorum unum est paruum: et est illud quod sequitur pollicem.	Whose one is small and that is what follows the thumb.
Et alterum est magnum, et est illud quod est positum sub paruo ab inferiori parte.	And the other is large, and that is what is placed under the small one from the lower part.
Fortasse ergo frangitur focile maius solum, aut paruum: et fortasse franguntur simul.	Perhaps therefore the larger bone alone is broken, or the smaller one, and perhaps both are fractured at once.
Quando ergo frangitur focile paruum superius, tunc restauratio eius est facilis, et sanatio eius est facilior.	When therefore the smaller bone is fractured above, then its restoration is easy, and its healing is easier.
Et quando frangitur focile inferius, est fractura eius mala, et sanatio eius difficilis.	And when the lower bone is fractured, it is a bad fracture, and its healing is difficult.
Et deterior ea est, quando franguntur duo ossa simul.	And this is worse, when both bones are fractured at the same time.
Si ergo os quod frangitur est focile parum superius, tunc conuenit medico apud restaurationem eius, ut ponat extensionem paruam cum facilitate, donec aequet ipsum.	If therefore the bone that is fractured is the smaller one above, then it is fitting for the physician to treat its restoration by setting a small extension with ease until it equals itself.
Si uero focile magnum est illud quod fractum est: tunc oportet, ut ponat stricturam fortiorem ualde.	If indeed the larger bone is that which is fractured, then it is necessary to set a stronger strait upon it very tightly.
Et oportet, ut ponat figuram manus apud restaurationem eius, et ipsius extensionem extensam super puluinar.	And it is necessary that he set the figure of a hand upon its restoration, and extend the extension over the elbow.
Et sit pollex manus ad superiora altior omnibus digitis: et sit articularis inferior omnibus digitis, uel reliquis: et infirmus sedens quadratus super seipsum, et sit puluinar coram eo, uel in directo eius, in altitudine, ut non incurrat infirmus laborem.	And let the index of the hand be above all the other fingers; and the lower joint to all the other fingers or the rest; and let the weak knee sit over itself, and be set directly before it, in its height, so that it does not incur the weak labor.
Deinde extendat minister Brachium ab inferiori parte, aut manu sua, aut cum ligamento.	Then extend the arm from its lower part, either with his hand or with a ligature.
Et minister alius extendat desuper similiter.	And another minister extends it similarly above.
Deinde aequet medicus os, donec reducat ipsum secundum meliorem figuram quam potest.	Then the doctor smooths out the bone until he can restore it to a better shape than possible.
Quod si in fractura ossis sunt satagiae, tunc conare reducere omne frustum in loco suo uirtute tua.	If there are fragments of bone, then attempt to restore all the fractured parts to their proper place by your own power.
Si uero apparet in eo sathaiatum separatum, et pungit cutem, et non est tibi spes in restauratione eius: tunc finde super ipsum, et aufer ipsum secundum modum quem diximus in eis quae praemissa sunt.	If, however, it appears that a separate fragment is embedded and hurts the skin, and there's no hope for restoring it: then remove it, and take it out as described earlier for the ones that were given.
Si autem fractura est cum uulnere, ego iam feci ad illud capitulum singulare, ergo accipe curationem illius inde.	If however the fracture is with a wound, I've already dealt with that particular chapter, so take care of it from there.
Quod si accidat in principio tuae restaurationis apostema calidum, tunc line pannum cum caeroto facto ex oleo rosato, et caera alba, et sit medium inter spissitudinem et subtilitatem: et stringe pannum super ipsum strictura subtili, donec quando sedatur apostema: tunc remoue caerotum, et pone emplastrum praeparatum ex puluere molendini cum albumine oui.	If it happens at the beginning of your restoration a warm swelling occurs, then apply a cloth lined with cauterium made from rose oil, white lead, and placed in the middle between sparsity and subtlety: and tie the cloth over it with fine strings until the swelling dries; then remove the cauterium, and put on the prepared emplastrum made of ground mullet fish with album.
Deinde pone astellas, et sit astella quae ponitur super fracturam ipsam latior parumper, et fortior.	Then put in astellae, and place an astelle which is placed over the fracture itself wider for a longer period, and stronger.
Et scias, quod numerus astellarum Brachii est sex in pluribus dispositionibus: siue sit fractura in focili uno, aut in duobus focilibus simul.	And know that the number of astellae for the arm is six in various dispositions: either it is a fracture in one mallet or in two mallets at the same time.
Deinde pone stricturam tuam super locum fracturae fortiorem et uehementiorem, et aliquanto plus cum strictura ad superiora fracturae, aut ad inferiora eius: aut pone stricturam molliorem strictura eius parumper, secundum quod praecessit rememoratio eius in principio capituli.	Then place your bandage over the fracture stronger and more firm, and a little bit thicker with the bandage above or below the fracture: or place a softer bandage over its softness for a longer period, as previously remembered at the beginning of the chapter.
Et sint panni qui inuoluuntur super fracturam, panni lenes, humidi: et non sint duri, asperi.	And there should be fabrics that are wrapped over fractures, soft fabrics, moist ones, and they should not be harsh or rough.
Et sit filum quo stringitur ex lino proprie, medium inter subtile et grossum, sicut narrauimus.	And let the thread which is drawn from linen be used properly, in the middle between the fine and coarse ones, as we have said.
Et considera membrum et ligamentum post dies.	And observe the limb and the ligament after days.
Quod si accidat aliquid cuius rectificatio sit necessaria, sicut pruritus qui accidit membro: tunc oportet, ut embroces membrum cum aqua calefacta, donec quiescat ille pruritus, et dimittas membrum non constrictum, donec quiescat, deinde itera stricturam.	But if something happens that requires correction, such as itching which occurs in a member: then you must wrap the limb with hot water, until the itching subsides, and let go of the limb when not constricted, then repeat the stricture.
Quod si strictura iam mollificata est, et os iam remotum, et similia illis: tunc rectifica illud totum uirtute tua, et considera iterum.	But if the stricture is already softened and the bone that has been removed is, and similar to those: then correct it all with your skill, and observe again.
Nam si nutrimentum prohibetur peruenire ad membrum, propter superfluitatem stricturae, tunc oportet, ut mollifices ipsum parumper, et dimittas ipsum aliquot diebus, donec currat ad ipsum nutrimentum, deinde stringe ipsum.	Because if the nourishment is forbidden to reach the limb, due to the superfluity of the stricture: then you must soften it a little more and let it alone for some days, until it begins to heal towards the nourishment, and then tie it.
Si autem non accidit infirmo aliquid eorum quae diximus, tunc non oportet, ut soluatur, nisi post uiginti dies, aut circiter hos.	If however no harm occurs to the weak one of those which we have said, then it is not necessary that it be loosened, unless after twenty days, or nearly so.
Deinde suspendatur manus infirmi ad collum eius.	Then the weak hand of the patient is suspended at his neck.
Et sit collum eius aequale, et custodiatur uirtute sua a motibus agitatiuis.	And let his neck be equal, and protected by the virtue of its own motion.
Et fac eum dormire super dorsum suum.	And make him sleep on his back.
Et scias, quod haec fractura in triginta diebus, aut in triginta duobus diebus restauratur: et fortasse restauratur in uigintiocto diebus.	And you know that this fracture is restored within thirty days, or within thirty-two days, and perhaps also within twenty-eight days.
Totum illud est secundum dispositiones complexionum, et dispositiones uirtutis.	The whole thing is according to the arrangements of the humors and the dispositions of virtues.
¶ De restauratione fracturarum Manus.	¶ On the restoration of fractures Hand.
Caput XIIII.	Chapter XXIII.
Scias, quod pectini Manus, et nodis digitorum raro accidit fractura.	You know that fracture of the fingers is rare in the hand and the nails.
Et non accidit ei, nisi attritio multotiens.	And it does not happen to him unless he has been worn out many times.
Quando ergo accidit plantae fractura, aut attritio: tunc oportet, ut sedeat infirmus quadratus: et coram eo sit sedes secundum aequalitatem.	So when there is a fracture of the foot or wear and tear: then it is necessary, that he who is sitting on him should be in an upright position, and in front of him be a seat according to equality.
Deinde pone Manum eius super eam extensam.	Then place his hand over her extended.
Deinde extendat minister ossa fracta, et aequet ea medicus, donec quando coniunguntur coniunctione bona.	Then the minister should stretch out the broken bone and equal it with the physician until they are united by a good conjunction.
Tunc oportet, ut ponat emplastrum et stuppam, si non accidat apostema calidum.	Then it is necessary, that he should put on a plaster and a stump, if there is not an hot swelling.
Deinde pone astellam desuper secundum quantitatem loci: et tu iam inuoluisti eam in panno lini.	Then place a wooden board over it according to the quantity of the place, and now you have already wrapped her in linen cloth.
Si autem fractura est ad inferiora circiter uentrem plantae, tunc fac simile spherae ex panno: et praecipe infirmo, ut coartet super eam cum planta sua fracta: deinde stringatur cum panno longo.	If the fracture is near to the lower part of the stomach in the foot, then do a similar thing with a ball made of linen: and instruct the patient to cover himself over with his fractured foot; then tie him up with a long piece of cloth.
Et sit astella ex corio, in quo sit lenitas, ut applicetur corium cum corpore plantae: et stringe eam, secundum quod oportet.	And let the astrolabe be made of leather, where there should be softness, so that skin can be applied to the body of the foot; and tie her up as it is necessary.
Si autem fractura est ad exteriora, tunc oportet: ut ponas astellam desuper, et astellam aliam ab inferiori in planta: et sit manus aperta recta.	If the fracture is on the outside, then it is necessary: to put a board above and another from below on the foot; and let the hand be open straight.
Deinde pone stricturam, sicut reuoluitur manus: et extende inter digitos cum ligamento.	And then put off the bandage, as it has been rolled up like a hand; and extend between the fingers with a ligament.
Quod si accidat fractura alicui nodorum digitorum, tunc si est pollex, aequetur secundum quod oportet.	If a fracture should happen to any of the finger bones, then if it is the thumb, it shall be bound accordingly.
Deinde stringatur cum planta: et si amas, pone ei astellam rectam, paruam: ut eleuetur fractura, et non moueatur.	And it shall be bound with the palm; and if there is a swelling, place on it a small straight needle so that the fracture may be eased and not disturbed.
Si autem fractura est reliquis digitis, sicut medio, et indici, aut auriculari, et anulari, tunc aequetur, et ligetur cum digito sano qui sequitur eum: aut ligentur omnes secundum continuationem: et est melius.	If however the fracture remains in any of the remaining fingers, such as the middle, ring, or little finger, or the ear bone, then it shall be bound and wrapped; and it shall be bound with the healthy finger following it, or all of them according to continuation, and this is better.
Aut pone super ipsum astellam paruam, sicut diximus in pollice.	Or place over it the small straight needle as we said in the thumb.
Et considera in restauratione tua, et post ipsam dispositionem apostematis calidi: et oppone cum eo quod oportet, quando accidit aliquid ex illo, secundum quod iteratur eius narratio.	And take into consideration your restoration, and after the arrangement of the stitches, warm water is applied; and it shall be bound with what is necessary, if anything happens from that, according to how its narration goes.
¶ De restauratione fracturae Coxae.	On the restoration of a fractured hip.
Caput XV.	Chapter XV.
OS Coxae multotiens frangitur, et declaratur sensui: quoniam conuertitur ad interiorem et posteriorem partem.	The head of the femur is often broken and declared to the sense, for it turns towards the inner and posterior parts.
Et restauratio eius fit ita, quod stringitur ligamentum supra fracturam, et ligamentum aliud sub fractura.	And the restoration of it is done thus, so that a ligament is placed above the fracture, and another ligament below the fracture.
Et infirmus prostretur super faciem suam.	And the weak one will be stretched out over his face.
Deinde extendat omne ligamentum minister ad partem suam secundum aequalitatem: et hoc, quando est fractura in medio ossis.	And then all the surrounding ligaments should be extended towards its own side according to equality; and this is done when there is a fracture in the middle of the bone.
Si autem est fractura propinqua radici Coxae, tunc sit ligamentum ad partem pectinis, ut cadat extensio ad sursum: et ligamentum aliud sub fractura.	If there is a fracture of the near root of the femur, then the ligament will be to the part of the breastbone, so that it extends upwards; and another ligament under the fracture.
Et sic similiter si est fractura propinqua genu, tunc sit ligamentum propinquum genu, ut sit extensio ad inferiora.	And thus similarly if there is a fracture of the near knee, then the ligament will be to the near knee, so that it extends downwards.
Deinde aequet medicus os utriusque manibus suis, donec reducat ipsum secundum similitudinem figurae naturalis: et coniugatur os coniunctione bona.	Then the physician takes up both the bones with his hands until he reduces it to the likeness of a natural figure: and unites the bone with good conjunction.
Tunc oportet, ut ponas emplastrum et stricturam, si non accidit membro apostema.	Then it is necessary to put on a plaster and binding, if the limb does not swell.
Quod si accidat in eo apostema: tunc dimitte ipsum diebus aliquot, donec sedetur apostema calidum, deinde redi ad curationem tuam.	Which if it happens to him, then release the limb for a few days until the swelling subsides, and then return to your care.
Strictura autem eius ita sit.	The binding of that should be so.
Oportet ut inuoluas super fracturam imema duram, id est, bindam: et dupla eam bis, aut ter: et remaneat ex ea superfluitas.	It is necessary to wrap tightly over the fracture with a strong cloth, that is, binding it; and twice or thrice fold it back and forth, so that there remains no excess.
Deinde inuolue crus, donec perueniat calcaneus apud radicem natis.	Then wrap the leg until the heel comes to the root of the natel.
Et intromitte filum longum inter Coxam et crus prope genu ad inferiora, et ueniant extremitates fili a superiori parte duarum partium.	And insert a long thread between the femur and the leg near the knee downwards, so that the ends of the thread come from the upper part of both parts.
Deinde reuolue super Crus et Coxam quod superfluit ex alimema.	Then roll up the leg and femur above which there is excess cloth.
Deinde pone super Coxam in loco fracturae ipsius astellas, et pone ex eis astellam unam super os cruris.	Then put over the femur on its own fracture a star-shaped splint, and place one of these stars over the bone of the leg.
Deinde imple uacuitates inter crus et coxam cum pannis lenibus, ut aequetur strictura.	Then fill the voids between the leg and femur with soft cloth, so that it may be bound tightly.
Deinde incipe cum strictura forti a medio super locum fracturae tribus inuolutionibus, aut quatuor.	Then begin with strong bands from a middle place above the fractured location, three or four folds.
Et quanto plus elongaris cum ligamento a loco fracturae, sit strictura tua minor et mollior, et lenior.	And the more you stretch out with the band from the fractured location, the less and softer is your binding, and the more flexible.
Deinde intende ad duas extremitates fili, quod tu intromisisti inter coxam et crus.	Then attend to the two ends of the thread, which you have introduced between the thigh and the knee.
Liga ergo cum utrisque tres astellas quae sunt desuper.	Bind therefore with three spicules which are above.
Deinde uade cum duabus extremitatibus fili ad inferiora, donec peruenias ad cauillam pedis.	Then proceed with the two ends of the thread to the lower parts, until you reach the nail of the foot.
Et cum utrisque stringe etiam extremitates astellarum a parte altera: ut non remoueatur ligamentum ex loco suo.	And with both, again bind the spicules from the other part: so that the ligament may not be dislocated from its place.
Deinde dimitte stricturam super illud, dum permanet, ita quod non accidat membro corrosio, neque apostema, neque inflatio, et similia eis.	Then release the binding above it, while it remains, so that it will not cause the limb to corrode, nor swelling, nor inflammation, and similar things.
Quod si accidat aliquid ex illo.	So that if anything happens from this.
Propera ergo cum solutione eius, et rectifica illud quod accidit inde totum, secundum quod diximus multotiens.	So proceed with a solution of that thing, and correct what happened from it altogether, as we have said many times.
Si uero in osse est frustum ex osse quod pungat: tunc oportet, ut aeques illud, si est tibi possibile.	If there is indeed a fracture within the bone of which it cuts: then you must equal that, if possible.
Et si non, finde super illud, et remoue illud: et cura cum eo cuius praecessit rememoratio, donec sanetur.	And if not, find over it and remove that: and treat with the one whose predecessor was recalled, until it is cured.
Et quandoque stringitur haec fractura Coxae, praeter quod addantur ei astellae, sicut diximus in adiutorio et brachio.	And when sometimes this fracture of the thigh is bound, other than the spicules added to it, as we said in the aid and elbow.
Verumtamen in restauratione eius taliter fracta, non accidit infirmo claudicatio.	However, in restoring it thus fractured, there does not occur weakness or lameness in the weak.
Et si restauratur sola, praeter quod applicetur ei crus alterum, tunc necesse est, ut claudicet ille cuius est, semper.	And if it is restored alone, except that an alternative limb is applied to him, then it must happen that he who has it will always limp.
Et scias, quod Coxa stringitur in quinquaginta diebus, uel additur parum, aut minuitur parum: totum illud est secundum diuersitatem complexionum, et reliquarum dispositionum.	And you know that the femur is contracted or shortened in fifty days, or slightly increased or decreased: all this is according to the difference of humors and other dispositions.
¶ De restauratione fracturae Rotulae genu.	On the restoration of a fracture of the kneecap (patella).
Caput XVI.	Chapter XVI.
Scias, quod Rotulae genu raro accidit fractura, sed accidit ei attritio multotiens.	You know that a fracture of the kneecap is rare, but it often suffers from wear and tear.
Si uero accidit ei fractura, tunc non nisi aut fissura, aut foramen in partibus suis.	If a fracture actually occurs to it, then it is either a complete fracture or a hole in one of its parts.
Et est illud cum uulnere, et absque uulnere.	And that is with the bone and without the bone.
Et statur super illud totum cum sensu.	And it stands over all this with sense.
Et restauratio eius est ita, ut aequetur quod disruptum est ex partibus eius cum digitis, donec aggregetur, et coniungatur secundum quod possibile est ex aequatione et facilitate, et fabricatione.	And the restoration of it is such that what was disrupted from its parts with fingers until it heals, and is joined again as much as possible by proportion, agreement, and craftsmanship.
Deinde pone emplastrum ex farina sisami, uel molendini, cum albumine oui: et pone super ipsum astellam rotundam, si indiges illa: et stringe desuper strictura conueniente ad illud.	Then place an emplaster made of sesame flour or flour mill with alum over it, and if you need a ball, put that one above, and tie tight the appropriate ligature to it.
Deinde considera omnes dispositiones quas narrauimus in reliquis fracturis: sicut apostema calidum, et similia illi: ita, ut opponas omni accidenti cum eo quod conuenit ei, donec sanetur.	Then consider all the dispositions we have described in the remaining fractures: such as a hot apothema and similar things: so that you oppose to him every possible accident with what is fitting to him, until he is healed.
¶ De restauratione fracturae Cruris.	On the restoration of a fracture of the thigh (cruris).
Caput XVII.	Chapter XVII.
Scias, quod Cruri sunt duo ossa, quorum unum est grossum, et nominatur nomine Cruris: et alterum subtile, et nominatur Focile.	You know that there are two bones of the knee, one of which is bulky and is called the knee bone (cruris), and the other which is thin and is called the kneecap.
Et accidit utrisque ex speciebus fracturae quod accidit duobus ossibus brachii: et propter illud fit restauratio eius, sicut restauratio brachii aequaliter, et operatio est una.	And it happens to both of these kinds of fractures that occur in two bones of the arm: and because of this, its restoration is done equally to that of the arm, and the operation is one.
Quod si franguntur duo ossa simul, conuertitur Crus ad omnes partes.	Which if both bones are broken at the same time, the knee is converted to all its parts.
Et si frangitur os subtilius, conuertitur Crus ad anteriorem partem.	And if the smaller bone is broken, the knee is converted to the anterior part.
